Unit Number,Notes,Model,Serial Number
MRS 1,,SW900,
MRS 204,11/1940,S2,69394
MRS 205,,S2,69524
MRS 206,,S2,69525
MRS 207,,S2,69670
MRS 208,,S2,72738
MRS 209,,S2,73622
MRS 210,blt 8/48,S2,76156
MRS 211,,S2,76518
MRS 212,Sold to GU *Scrapped*,S4,78835
MRS 213,ex-TRRA 571,S2,69537
MRS 214,ex-NP,S2,70073
MRS 251,,MP15DC,75611-1
MRS 252,,MP15DC,75611-2
MRS 253,"ex MRS 208 S-2 MK TE47-4E. Sold to FTRX, to LRSX, to KLWX",S2M,72738
MRS 254,,MP15DC,826025-1
MRS 255,ex-CR 9603,SW1500,33542
MRS 256,ex-CR 9604,SW1500,34348
MRS 257,"ex-N&W 2295, ITC 1514. Sold to FTRX, to SSRX",SW1500,35828
MRS 258,"Sold to FTRL, to EJR",SW1500,34486
MRS 3648-1,,U26C,
MRS 3648-2,,U23C,
MRS 3652-1,,U23C,
MRS 3752-7,,C30-7,
MRS 3812-4,,C36-7,
MRS 3856-6,,C36-7,
MRS 3876-1,,C36-7,
MRS 3879-5,,C36-7,
