Unit Number,Notes,Model,Serial Number
CAGX,,45Tonner,15249
CAGX 3,Ex-RDG,SW900,26804
CAGX 4,Ex-RDG,SW900,28417
CAGX 11,Ex-SP,SW900,19647
CAGX 52,"Model: Whitcomb 65-Ton, Blt: 1953",65 Tonner,61200
CAGX 101,"ex-MB. Sold to CONX, to GRWR",GP7,17428
CAGX 186,"Ex BN, nee NP, to GMTX.",SW1200,20320
CAGX 403,,S2,
CAGX 408,,LEAF,
CAGX 477,Ex-BRC,GP7,17142
CAGX 608,SD38-3 Former BRC 562(SD38-3) MP 3088(SD40) BN 7309(SD40R),SD38-3,37561
CAGX 704,Ex-FEC,GP7,17347
CAGX 1134,ex-MP 1134 acquired in 1986,SW1200,31094
CAGX 1272,"Blt as CNW 1272 5/53, To ILS 8/77, To Con Agra in 1989",SW1,18104
CAGX 1907,ex-NP,GP9,22725
CAGX 2002,ex-MP 3285,SD40-2,786178-20
CAGX 5000,,GP9,25306
CAGX 13170,,SW1200RS,A1554
CAGX 20077,ex-TM 854 s/n: 27856 b/d: 1/63,GP18,27856
