Unit Number,Notes,Model,Serial Number
CWRO 200,ex-American Steel Fdry 9G10,SW1001,786279-2
CWRO 202,ex-RT 102,SW1001,34110
CWRO 203,ex-RTR 103,SW1001,74657-1
CWRO 205,,SW1001,766009-1
CWRO 206,,SW1001,766009-2
CWRO 207,,SW1001,776072-1
CWRO 208,,SW1001,786155-1
CWRO 209,,SW1001,
CWRO 210,ex-FRDX 10019,SW1001,72695-1
CWRO 211,ex-MCRR 421,SW1001,73688-1
CWRO 212,ex-MCRR 422,SW1001,73688-2
CWRO 213,"ex-MCRR 423, Currently taken apart at the Midwest Railway Preservation Soci",SW1001,74672-1
CWRO 214,ex-MCRR 424,SW1001,756061-1
CWRO 215,ex-MCRR 425,SW1001,756061-2
CWRO 216,ex-MCRR,SW1001,36160
CWRO 217,,SW1001,74627-1
CWRO 218,ex-Interlake Steel 18,SW1001,74627-2
CWRO 312,,SW1500,
CWRO 348,ex-RSCX 348,SW900,21810
CWRO 373,"Blt. Aug 1955, exCWRO 373,CUVA 1207,MVRY 1207,ALQS 1207",SW1200,20639
CWRO 373,"Blt. Aug 1955, exCWRO 373,CUVA 1207,MVRY 1207,ALQS 1207",SW7,20639
CWRO 801,REMOTE CONTROLLED,SW8,19072
CWRO 801,Invalid Entry,SW900,Invalid Entry
CWRO 961,ex-Cuyahoga Valley,SW900,21597
CWRO 1003,ex-Cuyahoga Valley,SW1001,72679-1
CWRO 1281,"Blt, May, 1956 ex-CUVA 1280",SW1200,21599
CWRO 1550,,SW1500,33133
CWRO 1551,ex-SP. Sold to COP,SW1500,33992
CWRO 1552,ex-SP,SW1500,35238
CWRO 1554,,SW1500,4608-4
CWRO 1555,,SW1500,4608-50
CWRO 1556,Ex-NDM SW1504,SW1500,712674
CWRO 1557,,SW1500,4608-75
CWRO 8551,,SW1200,21596
CWRO 9611,,SW900,21597
