Unit Number,Notes,Model,Serial Number
USS 3,,50Tonner,30892
USS 4,,50Tonner,
USS 9,Model: EMD SW1200RS,SW1200RS,A1022
USS 13,"Blt 11/1957, PRR 7920,PC 9020,CR 9339, USS Great Lakes Works 69",SW1200,24152
USS 20,,DS44-750,
USS 22,Geneva Works,DS44-1000,27852
USS 22,,SW9,
USS 23,,DS44-1000,72853
USS 26,,SW1200,23784
USS 31,,SW1200,
USS 32,Geneva Works,DS44-1000,73611
USS 34,Geneva Works,S12,76139
USS 36,ex-Rayonier 201,S12,76136
USS 37,ex Rayonier 202,S12,76137
USS 39,,SW1000,
USS 40,,UNKNOWN,
USS 40,ex SP 2132,S12,75781
USS 41,ex SP 2133,S12,75782
USS 41,,UNKNOWN,
USS 45,"50 Tonner 3 foot gauge, ex-Nat'l",50Tonner,30734
USS 47,,SW1200,
USS 47,ex Carneige Steel 47,SW1000,
USS 52,,SW1200,30738
USS 54,,SW8,18964
USS 55,,80Tonner,31449
USS 69,,SW8,
USS 70,,70Tonner,
USS 76,,UNKNOWN,
USS 80,,Yard Slug,
USS 101,"ex-Mich. Limestone & Chemical 101, to USS in 1967",HH600,68949
USS 102,,S2,
USS 170,e-USSX,MP15DC,756100-1
USS 948,,SW1200,
USS 1188,,SW1000,
USS 1211,,SW10,18835
USS 1534,ex-ATSF 1534,S4,80617
USS 2606,"GE 110T, blt. 1941.",Unknown,13031
