Unit Number,Notes,Model,Serial Number
BHPX LOD7,"ex-WAB 582, ex-NW 1000",C425,3386-01
BHPX LOD8,"ex-WAB 584, ex-NW 1002",C425,3386-03
BHPX LOD9,"ex-WAB 587, ex-NW 1005",C425,3386-06
BHPX LOE21,,E60,
BHPX 2026,ex GECX 2026,ET44AC,
