Unit Number,Notes,Model,Serial Number
PVGX 2,nee ACL 645 4/50,SW7,9175
PVGX 14,"nee CB&Q 9139 6/1939, DRI 84, PVGX 14",SW1,900
PVGX 213,"nee NP 154 7/54, BN 213, PVGX 213",SW1200,22756
PVGX 311,"nee MILW 311, IRRC 311, NUCK 311, PVGX 311",GP9,25306
PVGX 444,"nee SP 5293/2714/1414/1517, GAVX 444, PGVX 444",SD7,17156
PVGX 470,"nee BRC 470 5/51, DDDX 470, PGVX 470 ADMX 470",GP7,14392
PVGX 471,"nee BRC 471 6/58, DDDX 471, PGVX 471",GP9,24739
PVGX 587,"nee CB&Q 603 10/41, BN 587, PVGX 587",NW2,1447
PVGX 1279,"nee WAB 103 1/39, PVGX 1279",SW1,882
PVGX 1280,"nee CNW 1280 4/54, PGVX 1280",SW600,19513
PVGX 1281,"nee CNW 1281 3/54, SSRX 1281, PGVX 1281",SW600,19514
PVGX 1317,"nee CN 1317, CAGX 1317, PVGX 1317",SW1200RS,A1554
PVGX 2012,"nee USAX 2012, PVGX 2012",SW8,15007
PVGX 3186,"nee SP 5603 6/54, SP/NIS/SJVR/WRIX 3186,  PGVX 2186",GP7,19564
PVGX 5000,"nee MILW 311, IIRC 311, NUCX 311, PVGX 311, CAGX 5000, PVGX 5000",GP9,25306
PVGX 6213,"nee McLouth Steel #5 3/53, PVGX 6213",SW1,17895
PVGX 9044,"nee B&O 500 3/45, BO 9044, MD&W 19, PVGX 9044",S2,72906
