Unit Number,Notes,Model,Serial Number
GNAX,Model 4350 Trackmobile,Power Car,
GNAX 1,blt 6/39 as CB&Q 9138,SW1,899
GNAX 1,? Ex-FWB s/n 803 ?,SW1,803
GNAX 25,,25 Tonner,30977
GNAX 128,Model: Rebuilt EMD SW900E,SW8,19527
GNAX SWX415B,Holcim ShuttleWagon SWX415B Trackmobile.,UNKNOWN,Unknown
