Unit Number,Notes,Model,Serial Number
HZGX,,UNKNOWN,
HZGX 10,,SW1200,30021
HZGX 167,slot train,MoW Equipment,
HZGX 168,,SW1001,
HZGX 169,MPM IV. EMD SW1001 Rebuild. Ex FRDX.,MoW Equipment,75632-2
HZGX 169,,SW1001,
HZGX 170,,MoW Equipment,
HZGX 170,,SW1001,
HZGX 171,ex-FRDX,SW1001,34264
HZGX 172,ex-FRDX #10017,SW1001,34265
HZGX 173,SW1000M,SW1000R,
HZGX 173,,SW1001,
HZGX 174,ex-Pac P,SW1200,
HZGX 174,,MoW Equipment,
HZGX 175,Built as Erie Mining Company 701 EMCO 701,GP38M,31950
HZGX 176,,MoW Equipment,
HZGX 177,,MoW Equipment,
HZGX 178,Home-built body,GP38-2,
HZGX 178,MPM XII,MoW Equipment,
HZGX 179,"LT WT 245500, EXH 15-06, EXW 10-08, EXL 58-04, Consist LT WT 740000",MoW Equipment,
HZGX 180,,MoW Equipment,
HZGX 181,RLMW 1500A,MoW Equipment,RLA1012
HZGX 182,,MoW Equipment,RLA1013
HZGX 184,RLMW 2300A   2/18/2009,UNKNOWN,RLA 1016
HZGX 184,"Built Feb. 18,2009",MoW Equipment,RLA 1016
HZGX 185,,MoW Equipment,
HZGX 186,Relco RLMW 1500A,UNKNOWN,
HZGX 187,,MoW Equipment,
HZGX 188,,MoW Equipment,
HZGX 188,HZGX 188 MPM XXII Multi Purpose Machine (GP38M power),GP38,
HZGX 189,,MoW Equipment,
HZGX 190,RELCO RLMW2000A,MoW Equipment,RLA1028
HZGX 191,,MoW Equipment,
HZGX 192,,MoW Equipment,
HZGX 193,MPM XXVI,GP38-2,RLA1034
HZGX 194,,UNKNOWN,
HZGX 195,,MoW Equipment,
HZGX 196,,UNKNOWN,
HZGX 198,MPM XXXI power unit,UNKNOWN,
HZGX 199,,MoW Equipment,
HZGX 201,Power unit for Herzog MPM XXXIII.  Started life as a GP9.,GP9,
HZGX 201,Power unit for the MPM XXXIII,UNKNOWN,
HZGX 201,RLMW 2000A (former GP9 - possibly ATSF),L4-1500XD-M,RLA 1049
HZGX 202,,UNKNOWN,
HZGX 202,,GP40,
HZGX 203,,UNKNOWN,
HZGX 203,,Power Car,
HZGX 204,Rebuilt from a KCS/TM GP40,UNKNOWN,
HZGX 204,,GP40-3,
HZGX 205,MPM from Ex TM/KCS GP40,GP40-3,35099
HZGX 206,modified for MOW service,GP40M-2,
HZGX 206,,GP40,
HZGX 206,modified for MOW service,GP40M-2,
HZGX 207,Relco 2000A,GP40,38547
HZGX 207,Herzog Multi-Purpose Machine (MPM). From a GP40 core.,UNKNOWN,
HZGX 209,,UNKNOWN,
HZGX 210,Ex-FGLK/FMRC 1702.,UNKNOWN,25281
HZGX 211,MPM 45 pseudo-locomotive,UNKNOWN,
HZGX 212,,UNKNOWN,
HZGX 213,"HZGX 21300 MPM 43, powered by HZGX 213",UNKNOWN,
HZGX 214,MPM,UNKNOWN,
HZGX 215,Ex UP.,SD70M,996188-91
HZGX 216,blt 5/01 as UP 4672,SD70M,996168-137
HZGX 1212,"ex-CS 150, ex-BN 400",NW2,4945
HZGX 1308,,GP7,
HZGX 1309,,GP7,
HZGX 1310,,GP7,
HZGX 1670,,MoW Equipment,
HZGX 1690,MPM IV. Cabcar.,MoW Equipment,
HZGX 1710,MPM VI,MoW Equipment,
HZGX 1720,,MoW Equipment,
HZGX 1730,,MoW Equipment,
HZGX 1740,,MoW Equipment,
HZGX 1760,,MoW Equipment,
HZGX 1790,,MoW Equipment,
HZGX 1800,,MoW Equipment,
HZGX 1820,,MoW Equipment,
HZGX 1850,,MoW Equipment,
HZGX 1860,,MoW Equipment,
HZGX 1870,,MoW Equipment,
HZGX 1900,"With 5 Well Cars (A,B,C,D)",MoW Equipment,
HZGX 1969,,SW1200,30021
HZGX 2007,,Power Car,38547
HZGX 2020,,UNKNOWN,
HZGX 4216,,GP39,
HZGX 18800,Power Cab,MoW Equipment,
HZGX 19000,,MoW Equipment,
HZGX 19100,,MoW Equipment,
HZGX 19300,,MoW Equipment,
HZGX 19500,,MoW Equipment,
HZGX 19900,Second power unit on push-pull train,UNKNOWN,
HZGX 20300,,Power Car,
HZGX 20500,Relco Locomotives RLMW 1500A,UNKNOWN,
HZGX 20600,Cab car for MOW train,UNKNOWN,
HZGX 21200,,UNKNOWN,
HZGX 40113,part the Automated Conveyor Train,Power Car,
HZGX 541616,Peterbilt Hyrail,MoW Equipment,
