Unit Number,Notes,Model,Serial Number
IMCX,Ex-USA,45 Tonner,7399
IMCX 36,ex-RI,GP18,26937
IMCX 110,,110Tonner,35716
IMCX 111,,110Tonner,35717
IMCX 121,,MP15,75612-1
IMCX 181,blt 7/47 as RDG 101,NW2R,4941
IMCX 182,blt 5/42 as UP 1029,NW2,1690
IMCX 204,blt 4/50 as F7A ATSF 238L,CF7,9599
IMCX 207,"ex-TENN 6, NYSW 246",RS1,75555
IMCX 209,x Brewster Phosphate 18,MP15DC,756127-1
IMCX 211,"nee WRG132, X Semi. Fert 132",MP15DC,796376-2
IMCX 1525,,GP8,11985
IMCX 1535,,GP8,9913
IMCX 1586,"Sold to RTEX, to HRR, to AKDN",GP8,13533
IMCX 2010,,GP20,26074
IMCX 3803,,GP38-2,
IMCX 9548,,NW2,6679
