Unit Number,Notes,Model,Serial Number
OSRX L4,,70Tonner,28239
OSRX 51,,NW2,5703
OSRX 52,ex-C&O,SW9,A151
OSRX 102,Ex-ETR 102. Final GP9 built,GP9,A2019
OSRX 175,,GP9,22576
OSRX 180,ex-CP 8769/1860,RS18u,82450
OSRX 181,ex-CP,RS18u,82458
OSRX 182,,RS18u,82258
OSRX 183,ex-INCX 208-3,RS18,M3497-02
OSRX 184,,RS18,M3497-03
OSRX 378,Ex-SOO,GP7,14008
OSRX 383,Ex. SOO,GP9,16481
OSRX 383,,GP7,16481
OSRX 500,Ex. Southern Pacific,S6,81819
OSRX 501,,S13,82548
OSRX 502,,S13,82549
OSRX 503,nee CP 8029 (1959),RS23,82581
OSRX 504,nee CP 8044 (1959),RS23,83286
OSRX 505,ex-CP 8021,RS23,82573
OSRX 506,nee CP 8013 (1959),RS23,82476
OSRX 641,ex-BCOL,M420W,6068-02
OSRX 644,ex-BCOL 644,M420W,6068-05
OSRX 646,Ex. BCOL 646,M420W,6068-07
OSRX 647,ex-BCOL 647,M420W,6068-08
OSRX 1116,Built in 1958 by MLW as an RS-,RS18,81621
OSRX 1210,Ex-CP 1210,SW1200RSm,A1492
OSRX 1244,,SW1200RSm,A1897
OSRX 1245,,SW1200RSm,A1909
OSRX 1249,,SW1200RSm,A1914
OSRX 1400,ex-RLK 1400,FP9A,A1399
OSRX 1401,ex-RLK 1401,FP9A,A1195
OSRX 1591,ex-CP 1591,GP9,A685
OSRX 1594,,GP9u,A1116
OSRX 1620,,GP9u,A1115
OSRX 6508,,F9A,A638
OSRX 8235,Ex-CP 8235,GP9u,A1474
