Unit Number,Notes,Model,Serial Number
ADMX ?,,25 Tonner,
ADMX,,25 Tonner,
ADMX,9/1956,45Tonner,32699
ADMX,blt 07/1942,65Tonner,15656
ADMX,,45Tonner,
ADMX,35T American Car & Foundry 8/1936,25 Tonner,3859
ADMX,,40-ton WDT,
ADMX,,25 Tonner,3859
ADMX CHERRY,"6/1947, ex-FERD 101, chain drive",45Tonner,31715
ADMX SULLIVAN,"6/1947,",65Tonner,29063
ADMX TRACKMOBIL,Trackmobile,UNKNOWN,
ADMX TRACKMOBIL,Trackmobile,UNKNOWN,
ADMX 1,"Ex-MRS 210; ""E'ville"" Blt 8/48, Scrapped November 2017",S2,76156
ADMX 1,ex-USAX 7013,65Tonner,15656
ADMX 1,Ex-Standard Elevator,25 Tonner,32373
ADMX 1,"ex-ITC 778, 1204, NW 1204",SW1200,20669
ADMX 2,,GP7,13314
ADMX 6,,45Tonner,30732
ADMX GP9,,GP9,24899
ADMX 11,,44Tonner,
ADMX 13,,80Tonner,30799
ADMX 15,ex-IMRL exx-SOO nee-MILW,SW1200,20072
ADMX 21,Ex-MKT,SW7,11742
ADMX 24,Ex-CTN,SW1,7744
ADMX 35,ex-PRR,GP9,24318
ADMX 45TONNER,,45Tonner,
ADMX 57,,SW1200,23367
ADMX 97,,25 Tonner,
ADMX 107,blt 6/51 as IC SW9 9444,SW14,14367
ADMX 139,,SW1200,30028
ADMX 203,6041-1,SW1,10083
ADMX 205,frame 6324-1,SW1,14985
ADMX 210,ex-MRS 210,S2,76156
ADMX 400,Ex-BCPA,SW1,2384
ADMX 401,,LEAF,
ADMX 420,Ex LIRR 420,S1,76745
ADMX 430,Ex. North Shore 430,SW7,11630
ADMX 470,Ex-BRC,GP7,14392
ADMX 475,,CF7,13735
ADMX 541,"ex Garvey International, ex BN",NW2,3640
ADMX 547,Ex-ATSF,CF7,9585
ADMX 581,,GP7,13314
ADMX 622,"9/1948, ex-CEIW, nee-LNE #611",S2,76174
ADMX 700,ex-IC,GP10,20286
ADMX 721,"ex-UPY, exx-UP, nee CNW",GP15-1,757142-9
ADMX 932,Ex-NW,GP9,24941
ADMX 953,ex-USSX 953,SW1500,4613-5
ADMX 1001,,SW8,72678-2
ADMX 1002,Blt. 2/1973,SW1001,72878-2
ADMX 1003,ex-SP 2270,SW1200,29646
ADMX 1004,Alco MT4,Yard Slug,82821
ADMX 1050,Ex-SAL,GP9,22649
ADMX 1119,Ex-KCS,SW1500,32117
ADMX 1120,Ex-KCS,SW1500,32116
ADMX 1201,,SW1200,20669
ADMX 1215,,SW9,16840
ADMX 1218,"Ex-CNW, to MJRX same #",SW1200,27147
ADMX 1220,ex-TRRA,SW1200,20657
ADMX 1231,Ex-NPBL. Sold to HVSR,SW1200,21025
ADMX 1251,,SW1200,
ADMX 1310,E-1045-15,NW2,7308
ADMX 1316,blt 2/75 as C&NW 1303,MP15DC,74762-2
ADMX 1333,,GP7u,16375
ADMX 1356,,SW1500,817019-1
ADMX 1357,,SW1500,817019-2
ADMX 1380,Ex-MP,MP15DC,827018-5
ADMX 1401,,MP14B,0409-01
ADMX 1402,,MP14B,0409-02
ADMX 1403,,MP14B,0409-03
ADMX 1406,,SW1200,
ADMX 1431,Ex-IC,SW14,11649
ADMX 1456,Ex-IC,SW14,16410
ADMX 1462,blt 6/51 as IC SW9 9434,SW14,14357
ADMX 1465,Ex-IC,SW14,10033
ADMX 1476,Ex-IC,SW14,14386
ADMX 1483,Ex-CIW,SW14,12896
ADMX 1485,Ex-IC,SW14,16417
ADMX 1486,Ex-IC,SW14,16507
ADMX 1891,"ex-BN, nee-NP",GP9,21225
ADMX 1934,Ex-NW 890,GP9,24899
ADMX 2234,blt 8/66 as RDG 2751,SW1500,31709
ADMX 2309,ex-TNO,SW1200,19489
ADMX 2311,"ex-LI 420, burned, painted as 2311 (street address)",S1,76745
ADMX 2539,,SW1500,35232
ADMX 4120,Ex-CNW,GP7R,15180
