Unit Number,Notes,Model,Serial Number
CRGX,CD Jennings Grain 3/1959,25 Tonner,6176
CRGX,35T Continental Grain 1/1967,25 Tonner,6555
CRGX,,25 Tonner,
CRGX,,35Tonner,34371
CRGX unk,,45 Tonner,
CRGX 1,8/55,25 Tonner,76119
CRGX 1,ex-SP,NW2,7315
CRGX 1,,44Tonner,
CRGX 2,,SW9,13213
CRGX 2,blt 1942,45Tonner,
CRGX 2,ex-USAX 7851,80Tonner,17751
CRGX 4,ex-EJE 423,NW2,4786
CRGX 5,"Built 10/46, ex-N.C. Ports Authority Ry 5, ex-Southern #2245, 1036",NW2,3656
CRGX 7,,SW9,
CRGX 11,"ex-B&O 630, 9405",SW900,20389
CRGX 11,Ex-Commonwealth Edison 11,SW1,1632
CRGX 11,ex-PTR,65 Tonner,61198
CRGX 14,"""Little Di,"" ex LN, to MWLX.",SW1,1563
CRGX 18,"ex-US Navy 65-00506, nee-US Army 7286",80Tonner,17893
CRGX 22,Ex-USAX,65Tonner,17884
CRGX 25_TONNER,"25 Ton Switcher, Unknown number",25 Tonner,
CRGX 30,,44Tonner,15041
CRGX 52,blt 4/53 as Hercules Powder 2,65 Tonner,61200
CRGX 61,,NW5,4149
CRGX 62,ex-EJE,SW1,1233
CRGX 66,,45Tonner,
CRGX 66,,80-DE-21,
CRGX 80T,,80Tonner,
CRGX 87,"CBQ 9136 to BN 78 to CIRC J33-3, Bethlehem Steel 18:2 to National Metals 18",SW1,897
CRGX 89,Ex T&NO 81,NW2,7326
CRGX 90,ex-CNW 2001A/1010,TR2A,10022
CRGX 100,Ex-SP,SD9,19441
CRGX 101,Ex-C&O,SW9,15520
CRGX 102,"ex BN 481, ex GN",NW2,1713
CRGX 105,Blt as FP&E 105 10/51,S4,79225
CRGX 157,blt 8/41 as EJ&E 239,SW1,1397
CRGX 202,,SD9,20223
CRGX 212,ex BUGX 212; nee BNSF 8826,SD70MAC,976814-110
CRGX 301,,CF7,
CRGX 303,ex CXR/BUGX 303; ex BUGX 303; ex BNSF 9546; nee BN 9546,SD60MAC,946555-5
CRGX 305,"ex IRTX 305, ex WTCX 305/312, ex BN 1870, ex NP 247",GP9,21092
CRGX 316,blt 4/55 as Standard Slag #45,50-DE-58a-1,76111
CRGX 401,Ex-MP,SW1200,28750
CRGX 402,,SW900,20385
CRGX 404,,MP15,74662-4
CRGX 405,Rebuilt GP10?,GP9,22066
CRGX 407,,GP9R,
CRGX 481,,44 Tonner,3367
CRGX 570,Ex-PC,SD38-3,36905
CRGX 573,Ex-L&N,SD38-3,38205
CRGX 575,ex BUGX 575; ex BNSF 9657; nee BN 9657,SD60MAC,946565-86
CRGX 601,,SW8,17229
CRGX 602,Model: EMD SD38,SD38,36433
CRGX 603,Ex-PC,SD38,36432
CRGX 604,Ex-NAR,SD38-2,A3355
CRGX 605,Former IHB 2921,SD20,25369
CRGX 606,,SD35,29844
CRGX 607,"Former MVPX 1228, NIWX 1228, Reserve Mining",SD18,26656
CRGX 609,,SD20,25659
CRGX 610,,SD20,25665
CRGX 611,Former DMIR 301,SD-M,25274
CRGX 613,Ex-BN,SD40-2,786256-63
CRGX 614,ex-GTW,GP9R,22861
CRGX 615,Ex-MVPX 1507,GP7u,A504
CRGX 616,"nee ALQS 1213, CUVA 1213, LTV rebuilt it to SW9m with 8-567CR block",SW9R,23080
CRGX 701,"Former IC 9450, CAGY 701",SD28,30704
CRGX 822,,SW8,16617
CRGX 864,Ex-B&M,S5,80920
CRGX 1004,blt 5/40 as UP 1004,NW2,1003
CRGX 1004,Ex-WSTX,SW1,5765
CRGX 1017,"Last ALCo built Jan. 10, 1969. Sold to GLLX",T6,6017-02
CRGX 1053,,S4,81974
CRGX 1278,Ex-CNW,SW1,18110
CRGX 1320,E1045-32,NW2,7325
CRGX 1337,blt 5/51 as ATSF 2696,GP7u,13207
CRGX 1342,,GP7u,18886
CRGX 1504,Ex-CN,SW1200RS,A740
CRGX 1528,ex-ATSF,S4,80061
CRGX 1990,ex-KCS 4221 nee-KCS 1221,NW2,5566
CRGX 2000,ex-CRIP,GP7R,18864
CRGX 2002,ex-MP,SD40-2,786178-20
CRGX 2014,"nee ATSF 2835, ATSF 2014 Gp7u, CRGX 2014 ""Mighty Cow"", DGNO 2014, BUGX 2014",GP7u,17646
CRGX 2254,ex-SSW,SW1200,28899
CRGX 4354,"20 ton, 2/1942",8 Ton,4354
CRGX 6008,Ex-GN,SD7,16107
CRGX 6751,"ex-B&0 213, 8413",SW1,1111
CRGX 6971,Ex-B&O,SW1,1111
CRGX 6990,,SD40-2,A2305
CRGX 7350,Ex-USAX,65Tonner,15730
CRGX 8000,ex-ERIE,S4M,80089
CRGX 8333,"ex-IC 8978, ex ICG GP8 7978",GP8,17737
CRGX 9330,Ex-PRR,SW1200,24143
CRGX 9335,Nee CR 9535  PC 9016  PRR 7916. Sold to RRC,SW1200,24148
CRGX 9349,blt 4/58 as PRR 7930,SW1200,24162
