Unit Number,Notes,Model,Serial Number
RFRX 2,"ex UO 02, ex NEZP 11, ex Ohio & Morenci 51, nee Blissfield RR 61",ML,3836
RFRX 4201,"ex-BNSF 4201, nee-CR 1904. Sold to AERC, to WRIX, to NIWX, to ATFX",B23-7,41911
RFRX 4202,"ex-BNSF 4202, nee-CR 1905. Sold to AERC, to WRIX, to NIWX, to ATFX",B23-7,41912
RFRX 4203,,B23-7,41913
RFRX 4205,,B23-7,41915
