Unit Number,Notes,Model,Serial Number
AEPX no,"Ex-C&O 5924, ICG 8280, P&L",GP10,21197
AEPX 1,"Appalachian Electric Power f/n, now at VMT",SW1000,35830
AEPX 2,,85Tonner,
AEPX 102,ex-APC; phase III-B5; blt 5/55,80Tonner,32343
AEPX 1101,ex-BN,SL-136,41105
AEPX 2703,blt 2/65 as SOU GP35 2703,GP35R,29958
