Unit Number,Notes,Model,Serial Number
ASCX 5,,80Tonner,
ASCX 6,,80Tonner,
ASCX 8,,80Tonner,
ASCX 12,,125Tonner,
ASCX 51,,SW8,
ASCX 52,ex-CN,SW1200RS,A1792
ASCX B-70,"Baldwin-Westinghouse, blt 1929",Boxcab,60759
ASCX B71,Baldwin-Westinghouse,Steeple Cab,61401
ASCX B73,Baldwin-Westinghouse,Steeple Cab,61264
ASCX B-80,blt 8/65,SW900,30622
ASCX B-84,To MWLX/BNG.,GP38-2,756065-1
ASCX E108,,S1,
ASCX 110,ex-ARMCO,LS-1200,9560
ASCX E-110,,LS-1200,9560
ASCX E110,blt 8/51,LS-1200,9560
ASCX E-117,2nd ASCX E-117,LS-1200,9498
ASCX E-119,"ex-BO 334 re# 9370, to ARMCO in 1963",LS-1000,9383
ASCX E123,Sold to WVRR,LS-1200,9468
ASCX 128,"blt 2/51 as B&O 348, re# 9394",LS-1200,9486
ASCX E-133,,LS-1200,
ASCX E137,,LS-1000,
ASCX E163,,SW1001,786141-2
ASCX E-169,,SW1001,806060-2
ASCX 307,"ex-BO 349/9395, to Armco in 1965, converted to air compressor car",LS-1200,9487
ASCX 702,,SW1500,72609-2
ASCX 708,Armco Steel,LS-1000,9308
ASCX 709,Armco Steel. Sold to WVRR,LS-1000,9400
ASCX 1202,"ex-SJT 3, reblt from ATSF 2301",SW900,601
ASCX 1208,,SW900,
ASCX 1219,,SW900,
ASCX 9384,"Ex B&O 328,9384",LS-1200,
ASCX 9385,ex-B&O 9385,LS-1200,9477
