Unit Number,Notes,Model,Serial Number
SVGX 204,"nee CRIP 929 SW1200, Timken 204, JCLX 204CAT repowered",RL1000,30743
SVGX 1308,nee CN 1308 7/58,SW1200RS,A1545
SVGX 1323,,SW1200RS,A1560
SVGX 1343,nee CN 1343 7/58,SW1200RS,A1793
SVGX 1350,nee CN 1350 6/59,SW1200RS,A1800
SVGX 1352,"nee CN 1352 6/59. Sold to PREX, to BUGX",SW1200RS,A1802
SVGX 1361,nee CN 1361 4/60,SW1200RS,A1846
SVGX 1362,nee MP 1257 2/66,SW1200,31230
SVGX 1363,nee MP 1148 4/66,SW1200,31222
SVGX 1395,nee CN 1395 8/60,SW1200RS,A1880
SVGX 1518,nee GTW 1518 3/60,SW1200,25750
SVGX 1704,nee CRR 904 12/50,GP16,12299
SVGX 2156,nee ATSF 2797 10/52,GP7u,17452
SVGX 3234,,SD40-2,73641-18
SVGX 3465,Ex-BN,SW1500,71605-10
SVGX 3611,nee ATSF 7494 11/80,B36-7,43140
SVGX 3612,nee ATSF 7495 11/80,B36-7,43141
SVGX 7102,"nee CN 1230, reblt 1/87 to CN 7102",SW1200RSm,A857
SVGX 7103,ex CANX/CN 7103,SW1200RSm,A865
SVGX 7104,,SW1200RSm,A1020
SVGX 7106,blt 1/57 as CN SW1200RS 1257,SW1200RSm,A1029
SVGX 7107,ex-CN 1237 reblt in 1987 to CN 7107,SW1200RSm,A864
SVGX 7302,ex-CN 1368 reblt in 1987 to CN 7302,SW1200RSm,A1853
SVGX 7307,ex-CN 1397 reblt in 1987 to CN 7307,SW1200RSm,A1882
SVGX 7308,,SW1200RSm,A1858
SVGX 7400,,SW1500,4608-58
SVGX 7402,,SW1500,4613-5
SVGX 7403,nee SP 2663 7/72,SW1500,4608-73
SVGX 7407,,SW10,18848
SVGX 7409,ex-CP,SW1200RSm,
SVGX 7410,MP15DC not a SW1500,SW1500,
SVGX 7411,,MP15DC,
SVGX 8355,,GP10,18807
SVGX 8464,"ex PAL 8464, ex ICG 8464, ec I",GP10,23864
SVGX 8601,Ex-IC,GP10,17729
SVGX 8604,,GP10,A933
SVGX 8605,,GP20,25564
SVGX 8606,GP7u,GP40-2,18909
SVGX 8607,,GP9,
SVGX 8608,,GP9RM,
SVGX 8609,,GP9RM,
SVGX 8610,Ex-CN,GP9RM,A815
SVGX 8611,"ex ATSF 2156, ex ATSF 2797 10/52",GP7u,17452
SVGX 8614,Ex-CN,GP9RM,A1339
SVGX 8615,ex CN 7026 ex 4229 b/n A-1342,GP9RM,A1342
SVGX 8616,,GP38-3,36330
SVGX 8618,,GP38-3,33689
SVGX 8619,"painted 08/2008 at MAC, Kansas",GP38AC,37636
SVGX 8620,"ex-BO 4816, CSX 2116, HLCX 3700",GP38,36692
SVGX 8621,,GP9,25644
SVGX 8622,,GP9,
SVGX 8623,Likely ex-CP 5579.,SD40-2,A2578
SVGX 8624,Likely ex-CP/SOO 786.,SD40-2,73795-1
SVGX 8625,,2GS14B,
SVGX 8625,SVGX 8625 < Soo 4203 (Gp9R *3/91) < CR 7349 < PC 7349 < NYC 8949 Gp9,GP9,20962
SVGX 8626,,GP9RM,A805
SVGX 8627,"Ex CN 4022, nee CN 4297",GP9RM,A1654
SVGX 8627,,GP9,A1654
SVGX 8628,,GP9,20962
SVGX 8629,nee CN 4341,GP9RM,A1776
SVGX 8629,nee CN 4341 9/59,GP9RM,A1776
SVGX 8630,ex CN,GP9,A1635
SVGX 8635,,SD40-2,74615-1
SVGX 8636,,SD40-2,
SVGX 8637,,SD40-2,776082-7
SVGX 8638,,SD40-2,786166-16
SVGX 8661,,SD60F,
SVGX 8661,,UNKNOWN,
SVGX 8729,"Ex PRLX, ex CSX, nee CR.",SD60I,946506-17
SVGX 8734,ex ICG,GP11,23704
