Unit Number,Notes,Model,Serial Number
ABRX 725,ex-MAL; nee-B&LE,F7A,17909
ABRX 1201,Built as MN&S 31 in 09/61,SW1200,27508
ABRX 1512,"Ex Coe Rail, nee GTW 1512. Sold to GLLX",SW1200,25744
