Unit Number,Notes,Model,Serial Number
CBCX 1,,25 Tonner,
CBCX 102,"88 ton, New 2/56, ID taken from trainweb.org/westernrails",86Tonner,32413
CBCX 103,ex-H.J. Kaiser Shipyard,25 Tonner,15681
CBCX 565,,SSB1200,25224
