Unit Number,Notes,Model,Serial Number
NUCX X,,44Tonner,
NUCX 1,ex-SCL 66,DS44-1000,75100
NUCX 01,,44Tonner,
NUCX 2,,44Tonner,
NUCX 02,,44Tonner,
NUCX 4,ex-US WAR,VO-1000M,67727
NUCX 5,ex-NP,SW1200,20329
NUCX 52,ex-SAL,DS44-1000,74795
NUCX 65,,SL-85,
NUCX 101,MP&ES 110ton rebuilt GE 80ton,UNKNOWN,
NUCX 102,MP&ES 110ton rebuilt GE 80ton,80Tonner,
NUCX 102,MP&ES 110ton rebuilt GE 80ton,UNKNOWN,
NUCX 148,Ex-BN,SW1000,
NUCX 310,?ex-MILW 310?,GP9,
NUCX 311,ex-MILW,GP9,25306
NUCX 321,Ex-Soo,SW1200,19538
NUCX 330,,SW1200RS,A855
NUCX 440,,SW1500,
NUCX 531,"Ex-BRC, Veterans unit, owned by Nucor steel per NRE employee",SW1500,33794
NUCX 592,"ex-UPY, exx-UP, nee-MP",GP15-1,767038-3
NUCX 609,Ex-Peoria & Pekin Union Rwy. #500 built May 1965,SW1200,30307
NUCX 660,ex UP 872. Sold to CLNA,GP30,27581
NUCX 660,,B23-7,42940
NUCX 664,ex-CR 1967,B23-7,42305
NUCX 664,ex-CBQ. Sold to CLNA *Scrapped*,GP7,13177
NUCX 721,,B23-7,42940
NUCX 721,Model: GE B23-7,UNKNOWN,42940
NUCX 944,ex-OIM,SW1200,19539
NUCX 1221,,SW1200,
NUCX 1222,,SW1200,
NUCX 1231,Nucor Steel NC,SW9,14517
NUCX 1419,Ex-MCR,SW14,17993
NUCX 2004,,Unknown,
NUCX 2014,Model: EMD SW1200RS,UNKNOWN,
NUCX 2307,"ex-TNO 115, ex-SP 2215/2307",SW1200,19488
NUCX 2313,"ex-TNO 125, ex-SP 2221/2311",SW1200,22908
NUCX 3628,"Ex BNSF, nee BN.",SW1000,35882
NUCX 4004,Ex-CN,GP9,A645
NUCX 4006,ex-CN,GP9RM,
