Unit Number,Notes,Model,Serial Number
CSRX 15,Ex MEC 15,44Tonner,27975
CSRX 23,Ex NYSW M-5,RDC1,5504
CSRX 23,Ex CR 1943,B23-7,42056
CSRX 108,"Baldwin,1/1920, nee-SACL 108>ANR>Reader,>CSRX>Robbins Rail Museum",2-6-2,52820
CSRX 203,"Ex CLP 203, Nee MEC 255",GP38,32664
CSRX 216,"03/1965, 5679-20, xNW 1328",GP35,30297
CSRX 252,Ex BM 252,GP38,32661
CSRX 255,Ex-MEC,GP38,32664
CSRX 501,Blt 5/1910 Retired 6/1958,2-8-0,47732
CSRX 573,Ex ST 27,GP7,12369
CSRX 1055,Ex PTM 1055,S4,78416
CSRX 1741,Ex BM 1741 Owned By The 470 Railroad Club,GP9,23239
CSRX 1751,EX CO 6128,GP9,22036
CSRX 1943,Ex CSRX 23. Sold to FGLK,B23-7,42056
CSRX 2820,Ex QBT 21. Sold to FGLK *Scrapped*,U23B,40130
CSRX 4266,Ex BM 4266 Owned By The 470 Railroad Club,F7A,8476
CSRX 4268,Ex BM 4268 Owned By The 470 Railroad Club,F7A,9932
CSRX 6505,Ex VIA 6505,FP9A,A635
CSRX 6516,Ex VIA 6516,FP9A,A1046
CSRX 7470,blt in 1921 by the GTR as #1795,0-6-0,22/1500
