Unit Number,Notes,Model,Serial Number
DLSX 1,"ConAgra ""Fred Page""",SW7,
DLSX 1,,GP9E,
DLSX 2,"ConAgra ""Mayo Schmidt""",SW7,
DLSX 2,,SW8m,
DLSX 3,"ConAgra ""Jim Anderson""",SW7,
DLSX 3,,SW8m,
DLSX 3,,SW9R,
DLSX 12,,SW1200,27507
DLSX 16,ex IC&E/IMRL 16,SW1200,20074 (fn 4286-20)
DLSX 133,,SW9,30019
DLSX 133,Ex-DRGW,SW1200,30019
DLSX 170,Ex-DMIR,SD9,25270
DLSX 189,"ex DMIR? rblt to SD-M. Sold to SSRX, to BDW",SD18,25793
DLSX 457,"ex-EJE 457, reblt w/center cab hood",SW8m,16354
DLSX 1200,Ex-UP,SW10,18836
DLSX 1213,,SW1200,20065
DLSX 1234,,UNKNOWN,
DLSX 1234,blt 10/51 as UP TR5A 1872,SW10,15070
DLSX 1254,ex-UP,SW10,10768
DLSX 1801,,SD18M,
DLSX 2307,Ex-Sou,SW1500,34481
DLSX 3878,ex SP 3878 factory lo-nose,GP9E,25637
DLSX 4551,Ex-CRIP,GP9R,23643
DLSX 4605,"Sold to SSRX, to MAN",GP9R,22840
