Unit Number,Notes,Model,Serial Number
RSSX 2524,Ex-CBQ GG10B,LEAF,5312-13
RSSX 2527,ex-SP 2527,SW1500,35220
RSSX 2537,ex-SP 2537,SW1500,35230
RSSX 2570,,SW1500,
RSSX 2580,Ex-SSW,SW1500,35758
RSSX 2589,ex SSW 2589,SW1500,7367-7
RSSX 2605,"ex-M&STL 709, C&NW 4333",GG20B,24764
RSSX 2616,,GG20B,
RSSX 2651,Ex-SP. Sold to LTEX,SW1500,4608-61
RSSX 2669,,SW1500,4608-79
RSSX 3016,,LEAF,28045
RSSX 3021,"Former Hartwell 3021 (ex-Rio Grande), sold to RSSX early '12, will reported",GP30,28050
RSSX 3380,"Ex-SP 3380. Sold to GSHX, to OMLX",G12,21380
RSSX 3382,ex-TNO 435 > SP 3557 > 3382,GP9R,21419
RSSX 3408,ex-SP,GP9,21387
RSSX 3428,ex-SP,GP9,21371
RSSX 3429,"ex-SP, o/n 5377-18",GP9R,20146
RSSX 3429,LEAF,GP9R,20146
RSSX 3429,,LEAF,
RSSX 3432,ex SP 3432,GP9E,21342
RSSX 3601,"CN 7033, CN 7733, Prem Std Farms 3439, Murphy-Brown of MO, MDLX/RSSX 3601",SW1200,A1043
RSSX 3742,,GP9,22960
RSSX 3756,,GP9,
RSSX 3759,Switches Eastman Chemical Plan,GP9,22898
RSSX 3766,,GP9,22895
RSSX 3766,,LEAF,22895
RSSX 3817,,GP9,25123
RSSX 3838,Ex-SP,LEAF,25112
RSSX 3838,Ex-SP,GP9,25112
RSSX 4124,,GP7,
RSSX 4130,Ex-CRIP 1303 converted to LEAF,GP10,16450
RSSX 4155,Ex-CRIP,GP7,17594
RSSX 4156,,GP7,15177
RSSX 4163,,GP7,16471
RSSX 4180,ex-CNW 4180. Sold to LTEX,GP7,16463
RSSX 4254,ex-KCS nee-SP (SW1),Yard Slug,1316
RSSX 4294,,GP7,
RSSX 4298,,GP7,14312
RSSX 4364,Ex-SLSF,GP7,11991
RSSX 4367,EX-SLSF,GP7,9914
RSSX 4443,Ex-SLSF,GP7,13323
RSSX 4451,Ex-SLSF,GP7,14243
RSSX 4454,Ex-SLSF,GP7,10190
RSSX 4471,GP7R,GP7,14671
RSSX 4487,,LEAF,
RSSX 4495,Built as Nickel Plate #703 in June 1960,GP18,26026
RSSX 4544,ex-CNW,GP9,23556
RSSX 4547,,GG20B,
RSSX 4548,Built 1/59 as CNW 1764 GP9,LEAF,25054
RSSX 4551,Was built as SLSF #562 in 11/51,GP7,14243
RSSX 5049,,GP10,16967
RSSX 5487,,GP7R,14306
RSSX 5495,ex-CNW,GP7R,18252
RSSX 5495,,UNKNOWN,
RSSX 5524,Ex-RSSX/SP 2524 Built 7/69,SW1500,35217
RSSX 5547,Former RSSX 4547 and CNW,GP9,23566
RSSX 5602,,LEAF,17087
RSSX 5602,,GP7,17087
RSSX 5605,ex-SP 2605,SW1500,4608-15
RSSX 5810,,LEAF,13378
RSSX 5810,"(EMD 13378, 12/50, 6193-13, ex-RSSX 5810, ex-Railserve 1810, ex-CSXT 1810",GG20B,13378
RSSX 7009,Ex-ATSF,CF7,13720
RSSX 7011,Ex-ATSF,CF7,2730
RSSX 7015,Former GTW 7015,SW9,17653
RSSX 7016,ex-GTW 7016,SW9,17654
RSSX 7983,,GP8,16962
RSSX 7984,"ex- DTI 956, ex-ICG 7984",GP8,16963
RSSX 7989,Ex-QNSL,GP8,A261
RSSX 8049,,GG20B,
RSSX 8203,,GP9u,
RSSX 8215,Ex CP,GP9u,A961
RSSX 8216,,GP9u,A1124
RSSX 8220,"Educated guess on model, seems to be nee-CP 8220",GP9u,A1150
RSSX 8233,,GP9,A1136
RSSX 8234,Built as Canadian Pacific #8809 GP9 Feb. 1958,GP9,A1461
RSSX 8238,,GP9,
RSSX 8245,,GP9,
RSSX 8252,Ex-CP,GP9u,A1163
RSSX 8260,,GP10,17736
RSSX 8321,"ex-CO, converted to a green go",GP10,21189
RSSX 8345,"(EMD 22249, 10/56, 5489-5, ex-Railserve 8345, ex-PAL 8345, ex-PAL 8154, ex",LEAF,22249
RSSX 8358,"Ex KRS, ex IC, ex ICG, nee CRR.",GP10,22697
RSSX 8922,Ex-NYC,SW9,9961
RSSX 8939,,SW9,14505
RSSX 8950,,SW9,15496
RSSX 8951,,SW9,14745
RSSX 8959,,SW9,14753
RSSX 8999,"02/1953, 4192-10, xCR 8999, xx",SW9,16321
RSSX 9022,NEE DLW556 EL451 CR9022,SW9,15733
RSSX 9022,ex-DLW SW9 556,LEAF,15733
RSSX 9025,ex-DLW,SW9,17888
RSSX 9140,,GG20B,
RSSX 9324,,SW1200,23766
