Unit Number,Notes,Model,Serial Number
PCCX 5,ex-Alcoa Terminal 80DE8 #3,80 Tonner,60089
PCCX 24,ex-CUT 24,LS-750,9540
PCCX 44,ex-MILW 994,44 Tonner,60091
PCCX 45,"ex-STLB&M 4331, ex-MP 946",AS16,76009
PCCX 50,ex Trona 50,DT66-2000,74123
PCCX 50,blt 1/51 as NKP 400,GP7,13692
PCCX 51,ex.Trona 51,DT66-2000,74124
PCCX 230,ex-LN,RS3,80693
PCCX 274,ex-SLSF,H10-44,10L51
PCCX 413,,RS3,
PCCX 415,Ex-SLSF 629; Lynnville Mine,GP7,15857
PCCX 416,"Ex SLSF #630 - Wrecked 1989/1990, and rebuilt as PCCX #602",GP7,15858
PCCX 467,ex-RDG 467,RS3,79873
PCCX 470,"Ex EL, nee- DLW, Preserved in Lynnville, Indiana",SW1,1057
PCCX 600,"Ex-NKP 426, N&W 2426",GP7,18594
PCCX 601,Ex-MKT 1519; KRPD Dock #1. Sold to KRRC,GP7,12067
PCCX 602,"ex-SLSF 630. Sold to MRIX, to CGRX",GP7,15858
PCCX 603,"Ex-NP 201, BN 1701; Scrapped - KRPD Dock #1",GP9,19545
PCCX 801,Ex-Seneca Coal 801,SW8,11371
PCCX 805,ex-MP,44 Tonner,60080
PCCX 900,ex-CNW 900,RS27,83601
PCCX 1001,Ex-SLSF 594; Lynnville Mine. Sold to RRC,GP7,13327
PCCX 1002,"Ex SLSF, Dugger Mine",GP7,13328
PCCX 1025,"ex-Kaiser Steel 1010A, dynamic brakes",DRS6-6-1500,73749
PCCX 1026,"ex-Kaiser Steel 1010B, dynamic brakes",DRS6-6-1500,74751
PCCX 1503,"ex-LSI 1503, to Pebody in 1969",RS2,76804
PCCX 1616,ex-1st Norfolk Southern 1616,AS416,76112
PCCX 2235,"blt as BO 901, re# BO 6201, re# BO 2235",AS16,75499
PCCX 2238,ex-BO 904,AS16,75502
PCCX 2239,,AS16,
PCCX 7440,ex USAX 7440,20 Tonner,2357
PCCX 9843,ex-ATSF 943/9843,RSD15,83579
