Unit Number,Notes,Model,Serial Number
DEEX 1,,SD40,36124
DEEX 2,to HLCX 5002,SD40,36125
DEEX 3,"to MEC 600, HLCX 5055",SD40,36127
DEEX 3,,SD40,36127
DEEX 4,,SD40,36128
DEEX 5,,SD40,36126
DEEX 6,,SD40,36129
DEEX 7,,U30C,38237
DEEX 8,,U30C,38239
DEEX 8,Sold to LTEX *Scrapped*,U30C,38239
DEEX 9,blt 2/72,U30C,38238
DEEX 10,blt 2/72. Sold to JLCX *Scrapped*,U30C,38240
DEEX 11,,U30C,38235
DEEX 13,,SD40,5817-1
DEEX 14,"to MEC 603,HLCX 5058",SD40,5817-2
DEEX 14,,SD40,
DEEX 15,to HLCX 5005,SD40,5818-1
DEEX 16,,SD40,5818-2
DEEX 18,Sold to LSI *Scrapped*,U30C,40737
DEEX 19,Sold to LSI *Scrapped*,U30C,40738
DEEX 20,,U30C,40739
DEEX 20,Sold to LSI *Scrapped*,U30C,40739
DEEX 21,,U30C,40740
DEEX 22,DEEX 022,U30C,40741
DEEX 22,,U30C,40741
DEEX 202,,0-6-0,52792
DEEX 203,placed in park in 1958,0-6-0,56524
DEEX 207,,0-4-0T,23117
DEEX 211,,SW1,8153
DEEX 213,,SW600,19525
DEEX 214,,SW900,22705
DEEX 216,,SW1000,32181
DEEX 217,,SW1001,33803
