Unit Number,Notes,Model,Serial Number
TXUX 5308,,SD70ACe,
TXUX 5309,,SD70ACe,
TXUX 23012,,U23B,
TXUX 53002,Luminant Logo,SD50,
TXUX 53003,Luminant Logo,SD50,
TXUX 53005,,SD45T-2,
TXUX 53006,,SD45T-2,
TXUX 53007,,SD45T-2,
