Unit Number,Notes,Model,Serial Number
TIT NO,Ex-SP,SW1500,4608-21
TIT TXXX,nee CNW/CEFX 6931,SD40-2,766032-6
TIT 2300,built as SSW 1061 to 2207 to S,SW9,15611
