Unit Number,Notes,Model,Serial Number
IREX 100,GE Trade Ins?,S3,
IREX 103,"Ex-RDG, now owned by the RCT&H",NW2,4943
IREX 204,"ex-LHR. Sold to CSYX, to DL",RS3,78292
IREX 1007,"IREX 1007 S2 Ex-N&SS, GE Trade In, blt. 5/46",S2,74466
IREX 7275,,SD40-2,
IREX 53678,,70Tonner,
