Unit Number,Notes,Model,Serial Number
SROX 100,Ex-USAX 4026,RS-4-TC,61256
SROX 106,Savannah River Site; Blt 10/91,GP60,917216-1
SROX 107,Savannah River Site; Blt 5/89,B40-8,46115
