Unit Number,Notes,Model,Serial Number
ASYX 1,,80Tonner,15741
ASYX 2,ex-NOPB 62,S12,76121
ASYX 4583,"ex-SOU 1064, nee 2273",NW2,5834
ASYX 4697,Avondale Shipyards,NW2,5825
