The Helm Project (HELM),,,,,,
Road No.,Model,Date,,,,
1056-1059,GP38M-2,Nov-69,,,,
"1060, 1061 & 1063",GP38M-2,Nov-69,,,,
"1062, 1069 & 1070",GP38M-2,Dec-68,,,,
"1064, 65, 67 & 68",GP38M-2,Nov-69,,,,
1072-1076,GP38M-2,-0.184382284,,,,
1078-81,GP38M-2,9/66; 2/67,,,,
"1082, 1086 & 1087",GP38M-2,8/9/1968,,,,
"1088, 1089 & 1093",GP38M-2,"11/71, 1/66, 9/68",,,,
The GP38-2s/GP38M-2s summarized in this section were built predominantly from GP40s,GP38M-2,,,,,
1204,SW1200,May-65,,,,
1212,SW1200,--,,,,
1219,SW1200,Sep-58,,,,
1316,SW1200,Sep-58,,,,
1400 and 1401,SW1500 / MP15AC,"4, 8/83",,,,
1500,SW1500 / MP15AC,Dec-72,,,,
1507,SW1500 / MP15AC,4/72/td>,,,,
"1508, 1509 & 1511",SW1500 / MP15AC,4/69; 7/68/td>,,,,
1512-1514,SW1500 / MP15AC,12/68; 12/69/td>,,,,
"1521, 1524, 1525",SW1500 / MP15AC,"6,6,8/73",,,,
1526 & 1527,SW1500 / MP15AC,7-8/83-,,,,
1800-1801 & 03-06,GP38-2,Jan-72,,,,
1803-1806,GP38-2,Jan-72,,,,
"1802, 07, 10-11 & 14",GP38-2,Jan-72,,,,
"1808, 1809 & 1812",GP38-2,--/72,,,,
1815-1818,GP38-2,1/2/1972,,,,
1816 & 1819-1822,GP38-2,x/72,,,,
"1823, 1826 & 1828",GP38-2,Oct-72,,,,
"1824, 1825 & 1827",GP38-2,x/72,,,,
1829 & 1830,GP38-2,x/72,,,,
"1831, 1835 & 1837",GP38-2,3/5/1973,,,,
"1832-34, 1836 & 1838",GP38-2,x/73,,,,
"1839, 1841 & 1842",GP38-2,"3, 5, 5/73",,,,
"1840, 1843 & 1844",GP38-2,x/73,,,,
1845 & 48-50,GP38-2,Sep-74,,,,
1851-1853,GP38-2,x/74,,,,
2000 & 2001,GP28,Nov-64,,,,
2001(2nd),SD38-2,Apr-78,,,,
2002(2nd),SD38-2,Sep-81,,,,
"2009, 20, 23 & 27",GP38,Aug-69,,,,
"2034, 2038 & 2045",GP38,Oct-69,,,,
2838 & 2861,SD40T-2,"3, 2/73",,,,
2863,SD40T-2,Feb-75,,,,
3000 & 3006,SD40,Mar-67,,,,
"3008-10, 14 & 15",SD40,Mar-67,,,,
3023,SD40,Feb-68,,,,
3064-66 & 3069,SD40,Jan-70,,,,
3087,SD40,/71,,,,
"3091, 3093",SD40,Aug-73,,,,
3099-3102,SD40,Aug-73,,,,
3120 (2nd),SD40,Dec-73,,,,
"3101, 3102 & 3104",SD45,Mar-70,,,,
"3106, 3110-3113",SD45,Dec-67,,,,
3116-3121,SD45,Dec-67,,,,
"3125, 3131 & 3144",SD45,Nov-67,,,,
3161 & 3164-69,SD45,Mar-70,,,,
3170,SD45,Apr-71,,,,
3512,SD45,Jan-72,,,,
"3517, 3518 & 3520",GP40,Aug-70,,,,
3524 and 3525,GP40,Aug-70,,,,
3605-3608,GP38 / GP38M-2,9/10/1969,,,,
3609 & 3613,GP38 / GP38M-2,"10, 10, 9/69",,,,
3610-12 & 3614-15,GP38 / GP38M-2,"10, 10, 9/69",,,,
3617-3619,GP38 / GP38M-2,"9/67, 8/69, 1/66",,,,
3621-23,GP38 / GP38M-2,"7/69, 2/71, 11/69",,,,
3624-3628,GP38 / GP38M-2,12/10/1967,,,,
3629-3631,GP38 / GP38M-2,"8, 9, 6/69",,,,
3632 & 3633,GP38 / GP38M-2,"6, 10/67",,,,
"3662, 3667-3669",GP38 / GP38M-2,10;11/67,,,,
3675-3678,GP38 / GP38M-2,Mar-71,,,,
3679 & 3680,GP38 / GP38M-2,"3, 5/71",,,,
3681,GP38 / GP38M-2,Dec-71,,,,
3695,GP38 / GP38M-2,Mar-69,,,,
3700,GP38-2/,Dec-70,,,,
3710,GP38-2/,Sep-80,,,,
3711-3713,GP38M-2,Sep-74,,,,
3714,GP38M-2,May-85,,,,
3750 & 3751,GP38M-2,"3, 7/71",,,,
3800 & 3801,GP38M-2,Oct-75,,,,
3803,GP38M-2,Jun-82,,,,
3804,GP38M-2,Sep-74,,,,
3805,GP38M-2,Sep-80,,,,
3806,GP38M-2,Nov-69,,,,
3810,GP38M-2,Sep-80,,,,
3813 & 3814,GP38M-2,"9/79, 5/85",,,,
3815-3816,GP38M-2,Oct-72,,,,
3817-3821,GP38M-2,Sep-78,,,,
3822-3826,GP38M-2,Sep-78,,,,
3827-3830,GP38M-2,Sep-78,,,,
3831-3835,GP38M-2,5/6/1979,,,,
3836-3840,GP38M-2,Jun-79,,,,
3841-3846,GP38M-2,Sep-72,,,,
3847 & 3855,GP38M-2,Oct-72,,,,
3848-3854,GP38M-2,9/10/1972,,,,
3856 - 3857,GP38M-2,Oct-73,,,,
3858-59 & 3862,GP38M-2,"10, 10, 9/72",,,,
