0,1,2,3,4
"720-722 75890, 69381, ??  6/48, 11/40 Ex-CGW 11, TP 6602 (#3) and ??","75890, 69381, ??  6/48, 11/40 Ex-CGW 11, TP 6602 (#3) and ??","6/48, 11/40 Ex-CGW 11, TP 6602 (#3) and ??","Ex-CGW 11, TP 6602 (#3) and ??",
S2 / S4 (Alco),801 73842 11/46 Ex-EL 505 < Erie 505,73842 11/46 Ex-EL 505 < Erie 505,11/46 Ex-EL 505 < Erie 505,Ex-EL 505 < Erie 505
"802-805 -- -- Ex-Relco 1013, 1025 & 1004","-- -- Ex-Relco 1013, 1025 & 1004","-- Ex-Relco 1013, 1025 & 1004","Ex-Relco 1013, 1025 & 1004",
"806, 807 & 807(2nd) -- -- S4; ex-Relco 1037, 1071 & 1075","-- -- S4; ex-Relco 1037, 1071 & 1075","-- S4; ex-Relco 1037, 1071 & 1075","S4; ex-Relco 1037, 1071 & 1075",
808 76512 12/48 Ex-D&H 3023,76512 12/48 Ex-D&H 3023,12/48 Ex-D&H 3023,Ex-D&H 3023,
S6 (Alco),"896 & 899 80925, 82284 5/55, 11/56 Ex-SP 1202 & 1219 < nee SP 1035 & 1052","80925, 82284 5/55, 11/56 Ex-SP 1202 & 1219 < nee SP 1035 & 1052","5/55, 11/56 Ex-SP 1202 & 1219 < nee SP 1035 & 1052",Ex-SP 1202 & 1219 < nee SP 1035 & 1052
T6 (Alco),"897 & 898 83371, 83375 6/59 Ex-N&W 29 & 33","83371, 83375 6/59 Ex-N&W 29 & 33",6/59 Ex-N&W 29 & 33,Ex-N&W 29 & 33
"SW8 (EMD) 902 & 903 ??, 16623 ??, 11/52 Ex-CRIP 816 and 825","902 & 903 ??, 16623 ??, 11/52 Ex-CRIP 816 and 825","??, 16623 ??, 11/52 Ex-CRIP 816 and 825","??, 11/52 Ex-CRIP 816 and 825",Ex-CRIP 816 and 825
SW900 (EMD) 904 -- -- SW900m; ex-Great Lakes 7,904 -- -- SW900m; ex-Great Lakes 7,-- -- SW900m; ex-Great Lakes 7,-- SW900m; ex-Great Lakes 7,SW900m; ex-Great Lakes 7
905 A585 4/54 GMDD-built; ex-CN 7921 < nee 8556,A585 4/54 GMDD-built; ex-CN 7921 < nee 8556,4/54 GMDD-built; ex-CN 7921 < nee 8556,GMDD-built; ex-CN 7921 < nee 8556,
