0,1,2,3,4
Model,Road No.,Serial No.,Date,Prior Owner
"C39-8 (GE) 8202, 05, 07 & 08 -- -- Ex-NS (same Nos.) < nee Conrail","8202, 05, 07 & 08 -- -- Ex-NS (same Nos.) < nee Conrail",-- -- Ex-NS (same Nos.) < nee Conrail,-- Ex-NS (same Nos.) < nee Conrail,Ex-NS (same Nos.) < nee Conrail
8211 & 8212 -- -- Ex-NS (same Nos.) < nee Conrail,-- -- Ex-NS (same Nos.) < nee Conrail,-- Ex-NS (same Nos.) < nee Conrail,Ex-NS (same Nos.) < nee Conrail,
8664-8670 -- -- Ex-NS 8664-8670,-- -- Ex-NS 8664-8670,-- Ex-NS 8664-8670,Ex-NS 8664-8670,
8671-8672 -- -- Ex-NS 8671-8672,-- -- Ex-NS 8671-8672,-- Ex-NS 8671-8672,Ex-NS 8671-8672,
8674-8678 -- -- Ex-NS 8674-8678,-- -- Ex-NS 8674-8678,-- Ex-NS 8674-8678,Ex-NS 8674-8678,
8681-8686 -- -- Ex-NS 8681-8686,-- -- Ex-NS 8681-8686,-- Ex-NS 8681-8686,Ex-NS 8681-8686,
"Locomotive data provided by xxxxxx.Thanks to the following contributors/sources:  www.nsdash9.com  (website)",,,,
