0,1,2,3
4339 EMD SD9 Ex-SP,EMD SD9 Ex-SP,SD9 Ex-SP,Ex-SP
4403-4406 EMD SD40-2 Ex-LLPX < CP < GATX < UP < nee MP,EMD SD40-2 Ex-LLPX < CP < GATX < UP < nee MP,SD40-2 Ex-LLPX < CP < GATX < UP < nee MP,Ex-LLPX < CP < GATX < UP < nee MP
4631 EMD GP40-2 -,EMD GP40-2 -,GP40-2 -,-
"5413, 5417 & 5482 EMD SD40-2 Ex-CP (same #s)",EMD SD40-2 Ex-CP (same #s),SD40-2 Ex-CP (same #s),Ex-CP (same #s)
"5449, 5463 & 5471 EMD SD50 -",EMD SD50 -,SD50 -,-
5534 GMDD SD40-2 Ex-CP 5678,GMDD SD40-2 Ex-CP 5678,SD40-2 Ex-CP 5678,Ex-CP 5678
5542 & 5668 EMD SD40-2 -,EMD SD40-2 -,SD40-2 -,-
5809 EMD G12 -,EMD G12 -,G12 -,-
5917 EMD SD40 -,EMD SD40 -,SD40 -,-
5997 EMD SD60 Ex-UP 5997,EMD SD60 Ex-UP 5997,SD60 Ex-UP 5997,Ex-UP 5997
6051 EMD GP9 -,EMD GP9 -,GP9 -,-
"6300-01, 09, 11 & 45 EMD SD40-2 Ex-?",EMD SD40-2 Ex-?,SD40-2 Ex-?,Ex-?
6406 EMD SD40 -,EMD SD40 -,SD40 -,-
6411 & 6415 EMD SD45 Ex-ATSF,EMD SD45 Ex-ATSF,SD45 Ex-ATSF,Ex-ATSF
"6475, 6486 & 97 EMD SD40-2 Ex-?",EMD SD40-2 Ex-?,SD40-2 Ex-?,Ex-?
6481 & 6487 EMD SD45-2 -,EMD SD45-2 -,SD45-2 -,-
6595 EMD SD45 -,EMD SD45 -,SD45 -,-
"7212, 7246, 7275 & 7285 EMD SD40-2 Still in original BN green and black colors; #7285 sold to D&I 3026",EMD SD40-2 Still in original BN green and black colors; #7285 sold to D&I 3026,SD40-2 Still in original BN green and black colors; #7285 sold to D&I 3026,Still in original BN green and black colors; #7285 sold to D&I 3026
"7300s EMD SD40-2 Includes: 7301, 32, 43, 48-49, 51 & 56-7","EMD SD40-2 Includes: 7301, 32, 43, 48-49, 51 & 56-7","SD40-2 Includes: 7301, 32, 43, 48-49, 51 & 56-7","Includes: 7301, 32, 43, 48-49, 51 & 56-7"
"7300s EMD SD40-2 Includes: 7360-1, 64, 67-8, 70 & 72-74","EMD SD40-2 Includes: 7360-1, 64, 67-8, 70 & 72-74","SD40-2 Includes: 7360-1, 64, 67-8, 70 & 72-74","Includes: 7360-1, 64, 67-8, 70 & 72-74"
7480-81 & 7488 GE C39-8 -,GE C39-8 -,C39-8 -,-
7482 EMD SD45 -,EMD SD45 -,SD45 -,-
7510-7511 EMD SD45-2 Ex-?,EMD SD45-2 Ex-?,SD45-2 Ex-?,Ex-?
7880 & 7896-97 EMD SD40-2 Ex-?,EMD SD40-2 Ex-?,SD40-2 Ex-?,Ex-?
7931 EMD SD40-2 Ex-BN/BNSF,EMD SD40-2 Ex-BN/BNSF,SD40-2 Ex-BN/BNSF,Ex-BN/BNSF
"8067, 8090 & 8092 EMD GP9/GP10 -",EMD GP9/GP10 -,GP9/GP10 -,-
8104 & 8174 EMD GP10/GP9 -,EMD GP10/GP9 -,GP10/GP9 -,-
8219 EMD GP10 Ex-IC 8219,EMD GP10 Ex-IC 8219,GP10 Ex-IC 8219,Ex-IC 8219
8250-8251 EMD SD40T-2 -,EMD SD40T-2 -,SD40T-2 -,-
8313 EMD GP9/GP10 -,EMD GP9/GP10 -,GP9/GP10 -,-
8401 EMD SD40-2 Ex-FURX 8104 < nee BN/BNSF 8104,EMD SD40-2 Ex-FURX 8104 < nee BN/BNSF 8104,SD40-2 Ex-FURX 8104 < nee BN/BNSF 8104,Ex-FURX 8104 < nee BN/BNSF 8104
8410 EMD GP10 -,EMD GP10 -,GP10 -,-
8681 & 8695 EMD SD50 Ex-CSX 8681 & 8695 < nee Conrail,EMD SD50 Ex-CSX 8681 & 8695 < nee Conrail,SD50 Ex-CSX 8681 & 8695 < nee Conrail,Ex-CSX 8681 & 8695 < nee Conrail
8679-81 & 8695 EMD SD50 -,EMD SD50 -,SD50 -,-
8822 & 8865 EMD SD40T-2 Ex-?,EMD SD40T-2 Ex-?,SD40T-2 Ex-?,Ex-?
9273 EMD SD45T-2 -,EMD SD45T-2 -,SD45T-2 -,-
9300 EMD SD45T-2 Ex-SP,EMD SD45T-2 Ex-SP,SD45T-2 Ex-SP,Ex-SP
9308 & 9402 EMD SD40T-2M Ex-?,EMD SD40T-2M Ex-?,SD40T-2M Ex-?,Ex-?
9424 EMD GP18 -,EMD GP18 -,GP18 -,-
9450 EMD SD28 -,EMD SD28 -,SD28 -,-
9842 EMD SD50 Ex-?,EMD SD50 Ex-?,SD50 Ex-?,Ex-?
9903 EMD SD40-2 Ex-UP 9903,EMD SD40-2 Ex-UP 9903,SD40-2 Ex-UP 9903,Ex-UP 9903
9460 & 9963 EMD GP40 -,EMD GP40 -,GP40 -,-
-,,-,-
Still Lettered for Prior Owner,,,
Aberdeen Carolina & Wsn 1601 EMD GP16 -,EMD GP16 -,GP16 -,-
Alberta Rail Net 1007 GE B30-7 -,GE B30-7 -,B30-7 -,-
Allied Services 1671 EMD GP50 Ex-UP 1671,EMD GP50 Ex-UP 1671,GP50 Ex-UP 1671,Ex-UP 1671
Amtrak 394 EMD F40PH -,EMD F40PH -,F40PH -,-
Amtrak 450-451 EMD F69PHAC Nee Siemens proto-types,EMD F69PHAC Nee Siemens proto-types,F69PHAC Nee Siemens proto-types,Nee Siemens proto-types
ATSF 2024 EMD GP7 -,EMD GP7 -,GP7 -,-
BNSF 1300s,"EMD GP7u Includes: 1301, 03, 35, 49, 56, 59, 60, 63, 66-67, 69 & 71","GP7u Includes: 1301, 03, 35, 49, 56, 59, 60, 63, 66-67, 69 & 71","Includes: 1301, 03, 35, 49, 56, 59, 60, 63, 66-67, 69 & 71"
BNSF 1368,"EMD GP7 Ex-ATSF; includes: 1301, 03, 35, 49, 56, 59, 60, 63, 66-69 & 71","GP7 Ex-ATSF; includes: 1301, 03, 35, 49, 56, 59, 60, 63, 66-69 & 71","Ex-ATSF; includes: 1301, 03, 35, 49, 56, 59, 60, 63, 66-69 & 71"
"Burlington Northern 1402, 07, 13-4, 19 & 36-37 EMD GP9/GP10 -",EMD GP9/GP10 -,GP9/GP10 -,-
BNSF 1498 EMD GP15 -,EMD GP15 -,GP15 -,-
BNSF 1619 EMD GP9 Ex-BN Lettered for Nat'l Accademy of Railway Sciences,EMD GP9 Ex-BN Lettered for Nat'l Accademy of Railway Sciences,GP9 Ex-BN Lettered for Nat'l Accademy of Railway Sciences,Ex-BN Lettered for Nat'l Accademy of Railway Sciences
BNSF 1683-84 & 1687 EMD GP9 -,EMD GP9 -,GP9 -,-
"BN 1739, 1750 & 1752 EMD SD9 -",EMD SD9 -,SD9 -,-
"BNSF 3800s EMD GP7 Includes: 3822-25, 27-28, 30-32, 34 & 37","EMD GP7 Includes: 3822-25, 27-28, 30-32, 34 & 37","GP7 Includes: 3822-25, 27-28, 30-32, 34 & 37","Includes: 3822-25, 27-28, 30-32, 34 & 37"
BNSF 3955 EMD Road Slug Ex-ATSF,EMD Road Slug Ex-ATSF,Road Slug Ex-ATSF,Ex-ATSF
"BN 4200s GE B23-7 Includes: 4200, 09-12, 16, 20-22, 26-27, 35-36, 38 & 47-48","GE B23-7 Includes: 4200, 09-12, 16, 20-22, 26-27, 35-36, 38 & 47-48","B23-7 Includes: 4200, 09-12, 16, 20-22, 26-27, 35-36, 38 & 47-48","Includes: 4200, 09-12, 16, 20-22, 26-27, 35-36, 38 & 47-48"
"BN 4200s GE B23-7 Includes: 4251, 54-56, 62 & 71","GE B23-7 Includes: 4251, 54-56, 62 & 71","B23-7 Includes: 4251, 54-56, 62 & 71","Includes: 4251, 54-56, 62 & 71"
BN 5489 GE B30-7 -,GE B30-7 -,B30-7 -,-
BN 6518,EMD,SD35,-
"BN 6400's EMD SD45 Includes: 6403, 08, 13, 15, 17 & 51","EMD SD45 Includes: 6403, 08, 13, 15, 17 & 51","SD45 Includes: 6403, 08, 13, 15, 17 & 51","Includes: 6403, 08, 13, 15, 17 & 51"
"BN 6400s EMD SD45-2 Includes: 6452, 58, 62, 90 & 97-98","EMD SD45-2 Includes: 6452, 58, 62, 90 & 97-98","SD45-2 Includes: 6452, 58, 62, 90 & 97-98","Includes: 6452, 58, 62, 90 & 97-98"
BN 6503 EMD SD45-2 -,EMD SD45-2 -,SD45-2 -,-
BN 7829 EMD SD40-2 Ex-?,EMD SD40-2 Ex-?,SD40-2 Ex-?,Ex-?
CEFX 9194 & 9243 EMD SD45T-2 Ex-SP (same #s),EMD SD45T-2 Ex-SP (same #s),SD45T-2 Ex-SP (same #s),Ex-SP (same #s)
"CEFX 9300, 9328 & 9337 EMD SD45T-2 Ex-SP (same #s)",EMD SD45T-2 Ex-SP (same #s),SD45T-2 Ex-SP (same #s),Ex-SP (same #s)
Central Manitoba 4080 EMD SW1200 Ex-Chicago & Illinois Midland 23,EMD SW1200 Ex-Chicago & Illinois Midland 23,SW1200 Ex-Chicago & Illinois Midland 23,Ex-Chicago & Illinois Midland 23
"Canadian Nat'l 1901, 1905, 1907 & 1915 GMDD GMD-1 -",GMDD GMD-1 -,GMD-1 -,-
"CN 2100 Series MLW HR616 Includes: 2100, 06-07, & 12-13","MLW HR616 Includes: 2100, 06-07, & 12-13","HR616 Includes: 2100, 06-07, & 12-13","Includes: 2100, 06-07, & 12-13"
"CN 4000s EMD GP9 Includes:  4016-17, 24, 27 & 30-31","EMD GP9 Includes:  4016-17, 24, 27 & 30-31","GP9 Includes:  4016-17, 24, 27 & 30-31","Includes:  4016-17, 24, 27 & 30-31"
"CN 5078, 5233, 5912 & 5922 EMD SD40 -",EMD SD40 -,SD40 -,-
CN 9164 & 9177 EMD F9A -,EMD F9A -,F9A -,-
"Chicago & North Wsn 5515, 5517 & 5529 EMD GP40 -",EMD GP40 -,GP40 -,-
Chi.Cntrl & Pacific 8093 & 8258 EMD GP10 -,EMD GP10 -,GP10 -,-
Canadian Pacific 534 EMD SD10 -,EMD SD10 -,SD10 -,-
CP 1018-1019 EMD F9B -,EMD F9B -,F9B -,-
CP 3067 EMD GP38-2 -,EMD GP38-2 -,GP38-2 -,-
"CP 5413, 5418, 5431 & 5476 EMD SD40-2 Ex-?",EMD SD40-2 Ex-?,SD40-2 Ex-?,Ex-?
"CP 5567, 5581 & 5590 EMD SD40-2 Ex-?",EMD SD40-2 Ex-?,SD40-2 Ex-?,Ex-?
"CP 5600s EMD SD40-2 Includes: 5607, 19-20, 23, 44, 54, 61 & 65","EMD SD40-2 Includes: 5607, 19-20, 23, 44, 54, 61 & 65","SD40-2 Includes: 5607, 19-20, 23, 44, 54, 61 & 65","Includes: 5607, 19-20, 23, 44, 54, 61 & 65"
"CP 5700s EMD SD40-2 Includes: 5704, 60, 69, 71 & 77","EMD SD40-2 Includes: 5704, 60, 69, 71 & 77","SD40-2 Includes: 5704, 60, 69, 71 & 77","Includes: 5704, 60, 69, 71 & 77"
CP 5823 EMD SD40-2 -,EMD SD40-2 -,SD40-2 -,-
CP 6409 EMD SD40 -,EMD SD40 -,SD40 -,-
CSX 1792 EMD GP16 -,EMD GP16 -,GP16 -,-
CSX 3136 GE B23-7 -,GE B23-7 -,B23-7 -,-
CSX 4287 & 4299 EMD GP39 -,EMD GP39 -,GP39 -,-
CSX 5213 GE Road Slug -,GE Road Slug -,Road Slug -,-
CSX 5575 GE B36-7 Ex-SBD,GE B36-7 Ex-SBD,B36-7 Ex-SBD,Ex-SBD
CSX 5875 GE B36-7 Ex-SBD,GE B36-7 Ex-SBD,B36-7 Ex-SBD,Ex-SBD
CSX 6635 & 6756 EMD GP40 -,EMD GP40 -,GP40 -,-
Dakota & Iowa 2701 & 2801 EMD SD45 -,EMD SD45 -,SD45 -,-
Denver & Rio Grande Wsn 3075 EMD GP38 -,EMD GP38 -,GP38 -,-
Duluth Winnipeg & Pacific 5902 & 5904 EMD SD40 -,EMD SD40 -,SD40 -,-
"FURX 2900s EMD GP50 Includes: 2900, 03, 05-6, 08, 10-1, 13, 15, 24, 35 & 44","EMD GP50 Includes: 2900, 03, 05-6, 08, 10-1, 13, 15, 24, 35 & 44","GP50 Includes: 2900, 03, 05-6, 08, 10-1, 13, 15, 24, 35 & 44","Includes: 2900, 03, 05-6, 08, 10-1, 13, 15, 24, 35 & 44"
"FURX 3020, 3069 & 3080 EMD SD40-2 #3020 is ex-CR 6268",EMD SD40-2 #3020 is ex-CR 6268,SD40-2 #3020 is ex-CR 6268,#3020 is ex-CR 6268
"FURX 7200s EMD SD40-2 Includes: 7207-10, 13, 15-20, 23-5, 27, 36-8, 40, & 42-48; all are ex-BNSF/BN (same #s)","EMD SD40-2 Includes: 7207-10, 13, 15-20, 23-5, 27, 36-8, 40, & 42-48; all are ex-BNSF/BN (same #s)","SD40-2 Includes: 7207-10, 13, 15-20, 23-5, 27, 36-8, 40, & 42-48; all are ex-BNSF/BN (same #s)","Includes: 7207-10, 13, 15-20, 23-5, 27, 36-8, 40, & 42-48; all are ex-BNSF/BN (same #s)"
"FURX 7200s EMD SD40-2 Includes: 7250-55, 48-9, 61-68, 70-1, 73-7, 79, 80-2, 84-8, & 91; all are ex-BNSF/BN (same #s)","EMD SD40-2 Includes: 7250-55, 48-9, 61-68, 70-1, 73-7, 79, 80-2, 84-8, & 91; all are ex-BNSF/BN (same #s)","SD40-2 Includes: 7250-55, 48-9, 61-68, 70-1, 73-7, 79, 80-2, 84-8, & 91; all are ex-BNSF/BN (same #s)","Includes: 7250-55, 48-9, 61-68, 70-1, 73-7, 79, 80-2, 84-8, & 91; all are ex-BNSF/BN (same #s)"
"FURX 7900s EMD SD40-2 Includes: 7924-6, 28-35, 37 & 39-40; all are ex-BNSF/BN (same #s)","EMD SD40-2 Includes: 7924-6, 28-35, 37 & 39-40; all are ex-BNSF/BN (same #s)","SD40-2 Includes: 7924-6, 28-35, 37 & 39-40; all are ex-BNSF/BN (same #s)","Includes: 7924-6, 28-35, 37 & 39-40; all are ex-BNSF/BN (same #s)"
"FURX 8000s EMD SD40-2 Includes: 8091, 94-6 & 99; all are ex-BNSF/BN (same #s)","EMD SD40-2 Includes: 8091, 94-6 & 99; all are ex-BNSF/BN (same #s)","SD40-2 Includes: 8091, 94-6 & 99; all are ex-BNSF/BN (same #s)","Includes: 8091, 94-6 & 99; all are ex-BNSF/BN (same #s)"
"FURX 8100s EMD SD40-2 Includes: 8100, 02-4, 06-8, 13, 15, 23, 25-6, 28-9 & 31-35; all are ex-BNSF/BN (same #s)","EMD SD40-2 Includes: 8100, 02-4, 06-8, 13, 15, 23, 25-6, 28-9 & 31-35; all are ex-BNSF/BN (same #s)","SD40-2 Includes: 8100, 02-4, 06-8, 13, 15, 23, 25-6, 28-9 & 31-35; all are ex-BNSF/BN (same #s)","Includes: 8100, 02-4, 06-8, 13, 15, 23, 25-6, 28-9 & 31-35; all are ex-BNSF/BN (same #s)"
FWWD 2009 EMD GP50 -,EMD GP50 -,GP50 -,-
FWWD 5020 EMD GP35 -,EMD GP35 -,GP35 -,-
Grand Trunk Wsn 5925 & 5928 EMD SD40 -,EMD SD40 -,SD40 -,-
Illinois Central 2038 EMD SD20 -,EMD SD20 -,SD20 -,-
IC 8171 & 8413 EMD GP10 -,EMD GP10 -,GP10 -,-
"IC 8738 , 8740 & 8748 EMD GP11 -",EMD GP11 -,GP11 -,-
IC 9428 EMD GP18 -,EMD GP18 -,GP18 -,-
Iowa Interstate 2039 EMD SD20 -,EMD SD20 -,SD20 -,-
"Kansas City Sou 600, 634 & 641 EMD SD40-3 -",EMD SD40-3 -,SD40-3 -,-
KCS 706 EMD SD50 -,EMD SD50 -,SD50 -,-
"KCS 1407, 09-10 & 29 EMD SD40-2 -",EMD SD40-2 -,SD40-2 -,-
KCS 6100 EMD SD40-2 -,EMD SD40-2 -,SD40-2 -,-
Korean National 3241 Alco DL532B -,Alco DL532B -,DL532B -,-
"LLPX 3101, 3103-04 & 3107-08 EMD SD40-2 -",EMD SD40-2 -,SD40-2 -,-
Metra 610 EMD F40C -,EMD F40C -,F40C -,-
"Montana Rail Link 317, 333 & 359 EMD F40PH -",EMD F40PH -,F40PH -,-
Motive Power Resources 1601 EMD SD40 -,EMD SD40 -,SD40 -,-
MS 1801 EMD GP18 -,EMD GP18 -,GP18 -,-
NS 6524 EMD SD50 -,EMD SD50 -,SD50 -,-
NS 8610 GE B39-8 -,GE B39-8 -,B39-8 -,-
PRSX 1009 EMD GP35 -,EMD GP35 -,GP35 -,-
