0,1,2,3
"WC 7500s EMD SD45 Includes: 7508, 14, 28, 32 & 92","EMD SD45 Includes: 7508, 14, 28, 32 & 92","SD45 Includes: 7508, 14, 28, 32 & 92","Includes: 7508, 14, 28, 32 & 92"
NREX-Lettered & Road No.,Bldr or Qty,Model,Notes
3,EMD,SW1200,Ex-Houston Belt & Terminal 3
7,BLW,VO-1000m,Reblt with EMD engine; ex-US Navy
"9, 15 & 17",GE,45-Ton,-
90,EMD,TR2,-
152-3 & 155,EMD,SW1200,Ex-Inland Steel 88-89 and S00 155
202,EMD,SW1001,-
203 & 206,EMD,SW1000,-
622,EMD,SW9,-
704B,EMD,Slug,-
704C & 708D,EMD,SW1200,-
"1284 EMD SW10 Ex-CP 1284, ex-UP1221, nee UP SW7 1832","EMD SW10 Ex-CP 1284, ex-UP1221, nee UP SW7 1832","SW10 Ex-CP 1284, ex-UP1221, nee UP SW7 1832","Ex-CP 1284, ex-UP1221, nee UP SW7 1832"
1442,EMD,SW14,Ex- IC 1442
1539 & 1560,EMD,MP15,-
2295,EMD,SW9,-
2472 & 2543,EMD,SW1500,-
3401,EMD,SW1200,-
3500 & 3513-14,EMD,SW1200,-
3615,EMD,SW1000,-
8615,EMD,SW900,-
-,,-,-
Still Lettered for Prior Owner & Road No.,,,
Burlington Nrn 3426 & 3459 EMD SW1500 -,EMD SW1500 -,SW1500 -,-
BN 3518 EMD SW1200 -,EMD SW1200 -,SW1200 -,-
CANX 1349 EMD SW1200 -,EMD SW1200 -,SW1200 -,-
Cedar Bay Generating 201 EMD SW1001 -,EMD SW1001 -,SW1001 -,-
Canadian National 7709 & 7722,GMDD,SW1200,-
Canadian Pacifc 1283-84 & 1287 EMD SW10 -,EMD SW10 -,SW10 -,-
CP 8124 EMD SW1200RSu -,EMD SW1200RSu -,SW1200RSu -,-
Elgin Joliet & Estn 441 EMD NW2 To Minnesota Commercial 100,EMD NW2 To Minnesota Commercial 100,NW2 To Minnesota Commercial 100,To Minnesota Commercial 100
Ethyl Corp 100,EMD,SW1,-
"Ferro Natl. Mexico 5800, 5814 & 5837",EMD,G12,-
"FNM 5856, 5864 & 5868",EMD,G12,-
"FNM 5872, 5876 & 5880",EMD,G12,-
Gateway Western 1201,EMD,SW1200,-
Illinois Central 1400s,EMD,SW14,"Includes: 1410, 16, 32, 35, 37, 50, 55 & 67"
Inland Steel Co. 76 & 78,EMD,SW1,-
"ISC 90, 96 & 107",GMDD,SW14,-
ISC 129,EMD,SW9,-
ISC  7441,Plymouth,??,-
"Korean National 2104, 07 & 09",EMD,SW1001,-
"KNR 2110-11, 14-15 & 17-18",EMD,SW1001,-
"KNR 2120-1, 25, 27",EMD,SW1001,-
KNR 4301,EMD,G12,-
Minnesota Commercial 110,EMD,SW1200,Ex-NPBL 109
Minn.Cmcl. 302 & 306,EMD,SW1500,-
Mobil 963 EMD MP15AC Nee EMD demo 116,EMD MP15AC Nee EMD demo 116,MP15AC Nee EMD demo 116,Nee EMD demo 116
SOO Line 2119,EMD,SW9,-
Southern Pacific 1405,EMD,SW1500,-
SP 2531,EMD,SW1500,-
Union Pacific 1222,EMD,SW10,-
"US Steel 9, 21 & 32",EMD,SW1200,-
"US Steel 46-48 , 52-55 & 59-60",EMD,SW1200,-
"US Steel 106, 112, & 113 EMD SW1200 Ex-Norfolk & Portsmouth Belt Line (same #s)",EMD SW1200 Ex-Norfolk & Portsmouth Belt Line (same #s),SW1200 Ex-Norfolk & Portsmouth Belt Line (same #s),Ex-Norfolk & Portsmouth Belt Line (same #s)
US Steel 1241 & 1243,EMD,SW1200,-
US Steel 9655,EMD,SW900,-
WAMX 108,EMD,SW1,-
WAMX 908,EMD,SW9,-
"Thanks to the following contributors/sources: Jimmy Barlow,         Peter Bieber, Kevin Burkholder (via LocoNotes), William Cahill, Chris         Carangi, Steve Dixon, Bryce Lee (""Canada Calling Newsletter""), David Everard,         Gilbert Elmond, Tom Fassett, Brian Frierdrich, Bill Gillfillan, Brian         J. Hadley, Douglas Harley, Mark Holderbaum, Alex Jiricek, Bryan Jones, Randy Keller,         John Komanesky; Ken Lanowich and George Manley, amd Charles Meyers (via LocoNotes), Bill         Miller, Clayton Notgrass, Brock Paine, Jim Podlich, John Poshepny, Roger         Rassche, Mark Rickert, Daniel Risdon, Kevin Sadowski, Chris Swingen, Otha         Tripp, Andy Tucker, Rick Tufts, Richard A Whitenight,and Ed Weisensel.                 Original upload date: 13 Dec. 2010",,,
