0,1,2,3,4
Reporting Marks: RPRX,Photo by: xxxxx,,,
Model,Road No.,Serial No.,Date,Notes
"RP14BD
1401
--
2011
Went to Port of Corpus Christi","1401
--
2011
Went to Port of Corpus Christi","--
2011
Went to Port of Corpus Christi","2011
Went to Port of Corpus Christi",Went to Port of Corpus Christi
"1411
--
2011
--","--
2011
--","2011
--",--,
"RP20BD
5400
2RPBDB50164000056
5/06
Blt on frame of NENE GP38 9702","5400
2RPBDB50164000056
5/06
Blt on frame of NENE GP38 9702","2RPBDB50164000056
5/06
Blt on frame of NENE GP38 9702","5/06
Blt on frame of NENE GP38 9702",Blt on frame of NENE GP38 9702
"5401
2RPBHB20964000167
--
Blt on frame of CN GP40-2LW 9637","2RPBHB20964000167
--
Blt on frame of CN GP40-2LW 9637","--
Blt on frame of CN GP40-2LW 9637",Blt on frame of CN GP40-2LW 9637,
"5402
1RPBDB20065000182
--
Blt on frame of BN C30-7A 4060","1RPBDB20065000182
--
Blt on frame of BN C30-7A 4060","--
Blt on frame of BN C30-7A 4060",Blt on frame of BN C30-7A 4060,
"5403
1RPBDB20265000183
--
Blt on frame of BN C30-7A 4088","1RPBDB20265000183
--
Blt on frame of BN C30-7A 4088","--
Blt on frame of BN C30-7A 4088",Blt on frame of BN C30-7A 4088,
"5404
1RPBDB20465000184
--
Blt on frame of BN C30-7A 4109","1RPBDB20465000184
--
Blt on frame of BN C30-7A 4109","--
Blt on frame of BN C30-7A 4109",Blt on frame of BN C30-7A 4109,
"5405
1RPBDB20665000185
--
Blt on frame of NS B36-7 3604","1RPBDB20665000185
--
Blt on frame of NS B36-7 3604","--
Blt on frame of NS B36-7 3604",Blt on frame of NS B36-7 3604,
"5406
--
01/07
Blt on frame of NS B36-7 3607 (GE 44272)","--
01/07
Blt on frame of NS B36-7 3607 (GE 44272)","01/07
Blt on frame of NS B36-7 3607 (GE 44272)",Blt on frame of NS B36-7 3607 (GE 44272),
"5407
--
11/07
Blt on frame of ATSF 1125 < nee GP9B UP 158B (EMD 19234)","--
11/07
Blt on frame of ATSF 1125 < nee GP9B UP 158B (EMD 19234)","11/07
Blt on frame of ATSF 1125 < nee GP9B UP 158B (EMD 19234)",Blt on frame of ATSF 1125 < nee GP9B UP 158B (EMD 19234),
"RP20CD
5600
--
12/07
Built on SD38/40 platform","5600
--
12/07
Built on SD38/40 platform","--
12/07
Built on SD38/40 platform","12/07
Built on SD38/40 platform",Built on SD38/40 platform
"Notes & Credits:

Locomotive data provided by Michael Richmond

Reference sources:
Locomotive Magazine (2008, 2009 2010 & 2011 Annuals)
RRpicturesarchive.net

Thanks  also to the following contributors/sources: Ed Weisensel  


New: 1 Aug. 2012",,,,
