0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
"MKCX 8402 & 8403 SD40 (EMD) 31930, 31931 8/66 Blt from ex-CSX 8403 & 8403 < C&O 7551 & 7552 < NEE C&O 7451 & 7452","SD40 (EMD) 31930, 31931 8/66 Blt from ex-CSX 8403 & 8403 < C&O 7551 & 7552 < NEE C&O 7451 & 7452","31930, 31931 8/66 Blt from ex-CSX 8403 & 8403 < C&O 7551 & 7552 < NEE C&O 7451 & 7452",8/66 Blt from ex-CSX 8403 & 8403 < C&O 7551 & 7552 < NEE C&O 7451 & 7452,Blt from ex-CSX 8403 & 8403 < C&O 7551 & 7552 < NEE C&O 7451 & 7452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI 9000-9029 SD40M-2 (EMD) (See NOTE A) -- (See NOTE A); sold to Helm,SD40M-2 (EMD) (See NOTE A) -- (See NOTE A); sold to Helm,(See NOTE A) -- (See NOTE A); sold to Helm,-- (See NOTE A); sold to Helm,(See NOTE A); sold to Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 9030-9036 SD40M-2 (EMD) (See NOTE B) -- (See NOTE B); sold to Helm,SD40M-2 (EMD) (See NOTE B) -- (See NOTE B); sold to Helm,(See NOTE B) -- (See NOTE B); sold to Helm,-- (See NOTE B); sold to Helm,(See NOTE B); sold to Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI 9037-9057 SD40M-2 (EMD) (See NOTE B) -- (See NOTE B); sold to Helm,SD40M-2 (EMD) (See NOTE B) -- (See NOTE B); sold to Helm,(See NOTE B) -- (See NOTE B); sold to Helm,-- (See NOTE B); sold to Helm,(See NOTE B); sold to Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 9401 SD40 (EMD) 37652 9/71 Ex-UP 3096,SD40 (EMD) 37652 9/71 Ex-UP 3096,37652 9/71 Ex-UP 3096,9/71 Ex-UP 3096,Ex-UP 3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 9409 & 9410 SD40 (EMD) 37651, 37652 9/71 Ex-UP 3095 & 3096","SD40 (EMD) 37651, 37652 9/71 Ex-UP 3095 & 3096","37651, 37652 9/71 Ex-UP 3095 & 3096",9/71 Ex-UP 3095 & 3096,Ex-UP 3095 & 3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 9411 SD40 (EMD) 37909 9/71 Ex-UP 3103,SD40 (EMD) 37909 9/71 Ex-UP 3103,37909 9/71 Ex-UP 3103,9/71 Ex-UP 3103,Ex-UP 3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 9502, 9504 SD45u (EMD) 36379,-- 8/70, - EX-BN 6490, --","SD45u (EMD) 36379,-- 8/70, - EX-BN 6490, --","36379,-- 8/70, - EX-BN 6490, --","8/70, - EX-BN 6490, --","EX-BN 6490, --",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 9532 SD45u (EMD) 35489 10/69 EX-BN 6689 < nee SLSF SD45 941,SD45u (EMD) 35489 10/69 EX-BN 6689 < nee SLSF SD45 941,35489 10/69 EX-BN 6689 < nee SLSF SD45 941,10/69 EX-BN 6689 < nee SLSF SD45 941,EX-BN 6689 < nee SLSF SD45 941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 9535 SD45u (EMD) 32515 10/66 Ex-ATSF SD45u 5347 < ATSF 5539 < nee ATSF SD45 1839,SD45u (EMD) 32515 10/66 Ex-ATSF SD45u 5347 < ATSF 5539 < nee ATSF SD45 1839,32515 10/66 Ex-ATSF SD45u 5347 < ATSF 5539 < nee ATSF SD45 1839,10/66 Ex-ATSF SD45u 5347 < ATSF 5539 < nee ATSF SD45 1839,Ex-ATSF SD45u 5347 < ATSF 5539 < nee ATSF SD45 1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 9536-9538 SD45u (EMD) 32553, 32511, 32085 12, 10, 8/66 Ex-ATSF SD45u 5350-5352 < ATSF 5577, 5535 & 5529 < nee ATSF 1877, 1835 & 1829","SD45u (EMD) 32553, 32511, 32085 12, 10, 8/66 Ex-ATSF SD45u 5350-5352 < ATSF 5577, 5535 & 5529 < nee ATSF 1877, 1835 & 1829","32553, 32511, 32085 12, 10, 8/66 Ex-ATSF SD45u 5350-5352 < ATSF 5577, 5535 & 5529 < nee ATSF 1877, 1835 & 1829","12, 10, 8/66 Ex-ATSF SD45u 5350-5352 < ATSF 5577, 5535 & 5529 < nee ATSF 1877, 1835 & 1829","Ex-ATSF SD45u 5350-5352 < ATSF 5577, 5535 & 5529 < nee ATSF 1877, 1835 & 1829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 9539-9541 SD45u (EMD) 32069, 32074, 32532 11, 7, 7/66 Ex-ATSF SD45u 5354, 5360 & 5362< ATSF 5514, 5518 & 5556 < nee ATSF 1814, 1818 & 1856","SD45u (EMD) 32069, 32074, 32532 11, 7, 7/66 Ex-ATSF SD45u 5354, 5360 & 5362< ATSF 5514, 5518 & 5556 < nee ATSF 1814, 1818 & 1856","32069, 32074, 32532 11, 7, 7/66 Ex-ATSF SD45u 5354, 5360 & 5362< ATSF 5514, 5518 & 5556 < nee ATSF 1814, 1818 & 1856","11, 7, 7/66 Ex-ATSF SD45u 5354, 5360 & 5362< ATSF 5514, 5518 & 5556 < nee ATSF 1814, 1818 & 1856","Ex-ATSF SD45u 5354, 5360 & 5362< ATSF 5514, 5518 & 5556 < nee ATSF 1814, 1818 & 1856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V04, V08 & V10 RP39-2C (EMD) 39250, 38566, 38568 12, 7, 9/71 Ex-Virginia Rail Express (same numbers) < nee C&O GP40 3784, 4086 and B&O 4016","RP39-2C (EMD) 39250, 38566, 38568 12, 7, 9/71 Ex-Virginia Rail Express (same numbers) < nee C&O GP40 3784, 4086 and B&O 4016","39250, 38566, 38568 12, 7, 9/71 Ex-Virginia Rail Express (same numbers) < nee C&O GP40 3784, 4086 and B&O 4016","12, 7, 9/71","Ex-Virginia Rail Express (same numbers) < nee C&O GP40 3784, 4086 and B&O 4016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Follow this link for information on   Morrison Knudson Corporation power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE A: Lineage of 9000-9029 (along with serial No. & date)  9001: ex-N&W 2965/ITC 2305(SD39) (34487, 5/69) 9016: ex-UP 3074 (32426, 12/66) 9002: ex-MK 8302/SP 8820 (32011, 8/65) 9017: ex-SP 9092 (32427, 4/69) 9003: ex-MK 8303(1st)/SP 8402 (31562, 1/66) 9018: ex-SP 8935 (33632, 2/68) 9004: ex-SP 9015 (34383, 2/69)  9019: ex-SP 9096 (34931, 4/69) 9005: ex-SSW 9052 (34420, 1/69) 9020: ex-SP 9090 (34925, 4/69) 9006: ex-SP 9013 (34381, 2/69) 9021: ex-UP 3078 (32430, 12/66) 9007: ex-SSW 8968 (33628, 2/68) 9022: ex-MK 8304/UP 3059 (34211, 10/66) 9008: ex-SP 8988 (34356, 1/69) 9023: ex-CNW 6546/CR 6223/PC 6223/PRR 6223 (33847, 1/68) 9009: ex-SP 9007 (334375, 2/69) 9024: ex-CNW 6508/CR 6180/PC 6180/PRR 6180 (33814, 12/67) 9010: ex-SP 9037 (34405, 3/69) 9025: ex-CNW 6570/BN 6451/GN 421 (33788, 7/68) 9011: ex-SP 9107 (35199, 10/69) 9026: ex-CNW 6580/BN 6461/CB&Q 520 (34555, 1/69) 9012: ex-SP 9083 (34918, 3/69) 9027: ex-CNW 6510/CR 6182/PC 6182/PRR 6182 (33816, 12/67) 9013: ex-SP 8996 (34364, 2/69) 9028: ex-CNW 6521/CR 6194/PC 6194/PRR 6194 (33828, 1/68) 9014: ex-UP 3055 (32407, 10/66) 9029: ex-CNW 6517/CR 6190/PC 6190/PRR 6190 (33824, 1/68) 9015: ex-UP 3072 (32424, 12/67) -  NOTE B: Lineage of 9030-9057 (along with serial No. & date) 9030: ex-CNW 6501/CR 6172/PC 6172/PRR 6172 (33806, 12/67) 9044: ex-CSXT 8422/WM 7571/WM 7471 (32135, 8/66) 9031: ex-MK 8305/SP 9098 (34933, 4/70) 9045: ex-KCS 601 (32102, 10/66) 9032: ex-CNW 6516/CR 6189/PC 6189/PRR 6189 (33823, 1/68) 9046: ex-MK 4910/KCS 634 (35846, 3/71) 9033: ex-CNW 6472/BN 6472 (363661, 6/70) 9047: ex-KCS 614 (33958, 8/68) 9034: ex-CNW 6505/CR 6176/PC 6176/PRR 6176 (33810, 12/67) 9048: ex-PLM 3000/MP 3000/MP 700:2 (32968, 3/67) 9035: ex-CNW (6545)/CR 6222/PC 6222/PRR 6222 (33846, 1/68) 9049: ex-PLM 3052/UP 3052 (32404, 10/66) 9036: ex-CNW 6550/CR 6227/PC 6227/PRR 6227 (33851, 12/67) 9050: ex-PLM 3058/MP 3058/MP 758 (35729, 1/70) 9037: ex-CSXT 8313/SBD 1237/L&N 1237 (35951, 4/70) 9051: ex-PLM 3041/UP 3041/EMD 434B(SD40X (29874, 3/65)) 9038: ex-CSXT 8307/SBD 1231/L&N 1231 (34760, 4/69) 9052: ex-PLM 3018/UP 3018 (31432, 3/66) 9039: ex-CSXT 8311/SBD 1235/L&N 1235 (35949, 4/70) 9053: ex-PLM 3104/UP 3104 (37910, 9/71) 9040: ex-CSXT 8325/SBD 1249/L&N 1249 (38203, 5/71) 9054: ex-PLM 3019/UP 3019 (31433, 3/66) 9041: ex-CSXT 8401/C&O 7550/C&O 7450 (31921, 8/66) 9055: ex-PLM 3004/MP 3004/MP 704:2 (32972, 3/67) 9042: ex-MK 4909/KCS 630 (35842, 3/71) 9056: ex-PLM 3029/MP 3029/MP 729:2 (31579, 4/66) 9043: ex-KCS 619 (33963, 8/68) 9057: ex-PLM 3021/UP 3021 (31435, 3/66)",NOTE A: Lineage of 9000-9029 (along with serial No. & date),,"9001: ex-N&W 2965/ITC 2305(SD39) (34487, 5/69)","9016: ex-UP 3074 (32426, 12/66)","9002: ex-MK 8302/SP 8820 (32011, 8/65)","9017: ex-SP 9092 (32427, 4/69)","9003: ex-MK 8303(1st)/SP 8402 (31562, 1/66)","9018: ex-SP 8935 (33632, 2/68)","9004: ex-SP 9015 (34383, 2/69)","9019: ex-SP 9096 (34931, 4/69)","9005: ex-SSW 9052 (34420, 1/69)","9020: ex-SP 9090 (34925, 4/69)","9006: ex-SP 9013 (34381, 2/69)","9021: ex-UP 3078 (32430, 12/66)","9007: ex-SSW 8968 (33628, 2/68)","9022: ex-MK 8304/UP 3059 (34211, 10/66)","9008: ex-SP 8988 (34356, 1/69)","9023: ex-CNW 6546/CR 6223/PC 6223/PRR 6223 (33847, 1/68)","9009: ex-SP 9007 (334375, 2/69)","9024: ex-CNW 6508/CR 6180/PC 6180/PRR 6180 (33814, 12/67)","9010: ex-SP 9037 (34405, 3/69)","9025: ex-CNW 6570/BN 6451/GN 421 (33788, 7/68)","9011: ex-SP 9107 (35199, 10/69)","9026: ex-CNW 6580/BN 6461/CB&Q 520 (34555, 1/69)","9012: ex-SP 9083 (34918, 3/69)","9027: ex-CNW 6510/CR 6182/PC 6182/PRR 6182 (33816, 12/67)","9013: ex-SP 8996 (34364, 2/69)","9028: ex-CNW 6521/CR 6194/PC 6194/PRR 6194 (33828, 1/68)","9014: ex-UP 3055 (32407, 10/66)","9029: ex-CNW 6517/CR 6190/PC 6190/PRR 6190 (33824, 1/68)","9015: ex-UP 3072 (32424, 12/67)",-,NOTE B: Lineage of 9030-9057 (along with serial No. & date),"9030: ex-CNW 6501/CR 6172/PC 6172/PRR 6172 (33806, 12/67)","9044: ex-CSXT 8422/WM 7571/WM 7471 (32135, 8/66)","9031: ex-MK 8305/SP 9098 (34933, 4/70)","9045: ex-KCS 601 (32102, 10/66)","9032: ex-CNW 6516/CR 6189/PC 6189/PRR 6189 (33823, 1/68)","9046: ex-MK 4910/KCS 634 (35846, 3/71)","9033: ex-CNW 6472/BN 6472 (363661, 6/70)","9047: ex-KCS 614 (33958, 8/68)","9034: ex-CNW 6505/CR 6176/PC 6176/PRR 6176 (33810, 12/67)","9048: ex-PLM 3000/MP 3000/MP 700:2 (32968, 3/67)","9035: ex-CNW (6545)/CR 6222/PC 6222/PRR 6222 (33846, 1/68)","9049: ex-PLM 3052/UP 3052 (32404, 10/66)","9036: ex-CNW 6550/CR 6227/PC 6227/PRR 6227 (33851, 12/67)","9050: ex-PLM 3058/MP 3058/MP 758 (35729, 1/70)","9037: ex-CSXT 8313/SBD 1237/L&N 1237 (35951, 4/70)","9051: ex-PLM 3041/UP 3041/EMD 434B(SD40X (29874, 3/65))","9038: ex-CSXT 8307/SBD 1231/L&N 1231 (34760, 4/69)","9052: ex-PLM 3018/UP 3018 (31432, 3/66)","9039: ex-CSXT 8311/SBD 1235/L&N 1235 (35949, 4/70)","9053: ex-PLM 3104/UP 3104 (37910, 9/71)","9040: ex-CSXT 8325/SBD 1249/L&N 1249 (38203, 5/71)","9054: ex-PLM 3019/UP 3019 (31433, 3/66)","9041: ex-CSXT 8401/C&O 7550/C&O 7450 (31921, 8/66)","9055: ex-PLM 3004/MP 3004/MP 704:2 (32972, 3/67)","9042: ex-MK 4909/KCS 630 (35842, 3/71)","9056: ex-PLM 3029/MP 3029/MP 729:2 (31579, 4/66)","9043: ex-KCS 619 (33963, 8/68)","9057: ex-PLM 3021/UP 3021 (31435, 3/66)"
NOTE A: Lineage of 9000-9029 (along with serial No. & date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9001: ex-N&W 2965/ITC 2305(SD39) (34487, 5/69)","9016: ex-UP 3074 (32426, 12/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9002: ex-MK 8302/SP 8820 (32011, 8/65)","9017: ex-SP 9092 (32427, 4/69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9003: ex-MK 8303(1st)/SP 8402 (31562, 1/66)","9018: ex-SP 8935 (33632, 2/68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9004: ex-SP 9015 (34383, 2/69)","9019: ex-SP 9096 (34931, 4/69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9005: ex-SSW 9052 (34420, 1/69)","9020: ex-SP 9090 (34925, 4/69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9006: ex-SP 9013 (34381, 2/69)","9021: ex-UP 3078 (32430, 12/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9007: ex-SSW 8968 (33628, 2/68)","9022: ex-MK 8304/UP 3059 (34211, 10/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9008: ex-SP 8988 (34356, 1/69)","9023: ex-CNW 6546/CR 6223/PC 6223/PRR 6223 (33847, 1/68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9009: ex-SP 9007 (334375, 2/69)","9024: ex-CNW 6508/CR 6180/PC 6180/PRR 6180 (33814, 12/67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9010: ex-SP 9037 (34405, 3/69)","9025: ex-CNW 6570/BN 6451/GN 421 (33788, 7/68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9011: ex-SP 9107 (35199, 10/69)","9026: ex-CNW 6580/BN 6461/CB&Q 520 (34555, 1/69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9012: ex-SP 9083 (34918, 3/69)","9027: ex-CNW 6510/CR 6182/PC 6182/PRR 6182 (33816, 12/67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9013: ex-SP 8996 (34364, 2/69)","9028: ex-CNW 6521/CR 6194/PC 6194/PRR 6194 (33828, 1/68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9014: ex-UP 3055 (32407, 10/66)","9029: ex-CNW 6517/CR 6190/PC 6190/PRR 6190 (33824, 1/68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9015: ex-UP 3072 (32424, 12/67)",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE B: Lineage of 9030-9057 (along with serial No. & date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9030: ex-CNW 6501/CR 6172/PC 6172/PRR 6172 (33806, 12/67)","9044: ex-CSXT 8422/WM 7571/WM 7471 (32135, 8/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9031: ex-MK 8305/SP 9098 (34933, 4/70)","9045: ex-KCS 601 (32102, 10/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9032: ex-CNW 6516/CR 6189/PC 6189/PRR 6189 (33823, 1/68)","9046: ex-MK 4910/KCS 634 (35846, 3/71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9033: ex-CNW 6472/BN 6472 (363661, 6/70)","9047: ex-KCS 614 (33958, 8/68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9034: ex-CNW 6505/CR 6176/PC 6176/PRR 6176 (33810, 12/67)","9048: ex-PLM 3000/MP 3000/MP 700:2 (32968, 3/67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9035: ex-CNW (6545)/CR 6222/PC 6222/PRR 6222 (33846, 1/68)","9049: ex-PLM 3052/UP 3052 (32404, 10/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9036: ex-CNW 6550/CR 6227/PC 6227/PRR 6227 (33851, 12/67)","9050: ex-PLM 3058/MP 3058/MP 758 (35729, 1/70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9037: ex-CSXT 8313/SBD 1237/L&N 1237 (35951, 4/70)","9051: ex-PLM 3041/UP 3041/EMD 434B(SD40X (29874, 3/65))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9038: ex-CSXT 8307/SBD 1231/L&N 1231 (34760, 4/69)","9052: ex-PLM 3018/UP 3018 (31432, 3/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9039: ex-CSXT 8311/SBD 1235/L&N 1235 (35949, 4/70)","9053: ex-PLM 3104/UP 3104 (37910, 9/71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9040: ex-CSXT 8325/SBD 1249/L&N 1249 (38203, 5/71)","9054: ex-PLM 3019/UP 3019 (31433, 3/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9041: ex-CSXT 8401/C&O 7550/C&O 7450 (31921, 8/66)","9055: ex-PLM 3004/MP 3004/MP 704:2 (32972, 3/67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9042: ex-MK 4909/KCS 630 (35842, 3/71)","9056: ex-PLM 3029/MP 3029/MP 729:2 (31579, 4/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9043: ex-KCS 619 (33963, 8/68)","9057: ex-PLM 3021/UP 3021 (31435, 3/66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
