Company,Abbr,Model,Road No.,Date
OmniTrax,OMLX,SD40-2/SD40M-2,3061,Apr-66
OmniTrax,OMLX,SD40-2/SD40M-2,3123,Dec-69
OmniTrax,OMLX,SD40-2/SD40M-2,3144,Jun-66
OmniTrax,OMLX,SD40-2/SD40M-2,3146,Nov-71
OmniTrax,OMLX,SD40-2/SD40M-2,3149,Feb-67
OmniTrax,OMLX,GP38-2,4161,Jun-77
OmniTrax,OMLX,GP9,4435,Jun-53
OmniTrax,OMLX,GP9,1478,Jun-51
OmniTrax,OMLX,SD50M,5001,Dec-85
OmniTrax,OMLX,SD50M,5003,Feb-86
OmniTrax,OMLX,SD50M,5009,Nov-85
OmniTrax,OMLX,SD40-2,7173,Aug-79
OmniTrax,OMLX,SD40-2,7193,Jul-80
OmniTrax,OMLX,SD40-2,8163,Jul-80
OmniTrax,OMLX,GP40-2LW,9570,Mar-75
