0,1,2,3
Road No.  Model & Date Bldr No. Notes,Model & Date Bldr No. Notes,Bldr No. Notes,Notes
"2783 & 2785 SD40M-2 (9 & 12/69) EMD 35480, 35674  Ex-UP 2783 & 2785 < nee SLSF SD5 932 & SP SD45 9128","SD40M-2 (9 & 12/69) EMD 35480, 35674  Ex-UP 2783 & 2785 < nee SLSF SD5 932 & SP SD45 9128","EMD 35480, 35674  Ex-UP 2783 & 2785 < nee SLSF SD5 932 & SP SD45 9128",Ex-UP 2783 & 2785 < nee SLSF SD5 932 & SP SD45 9128
2787 SD40M-2 (3/68) EMD 33757 Ex-UP 2787 < nee DRGW SD45 5325,SD40M-2 (3/68) EMD 33757 Ex-UP 2787 < nee DRGW SD45 5325,EMD 33757 Ex-UP 2787 < nee DRGW SD45 5325,Ex-UP 2787 < nee DRGW SD45 5325
"2788 & 2789 SD40M-2 (9/68, 11/67) EMD 34164, 33563 Ex-UP 2788 & 2789 < nee SCL SD45 2011 & nee Sou SD45 3141","SD40M-2 (9/68, 11/67) EMD 34164, 33563 Ex-UP 2788 & 2789 < nee SCL SD45 2011 & nee Sou SD45 3141","EMD 34164, 33563 Ex-UP 2788 & 2789 < nee SCL SD45 2011 & nee Sou SD45 3141",Ex-UP 2788 & 2789 < nee SCL SD45 2011 & nee Sou SD45 3141
"2792 & 2797 SD40-2 (3/68, 4/69) EMD 33446, 34932 Ex-UP 2792 & 2797 < nee UP SD45 3637 & SP 9097","SD40-2 (3/68, 4/69) EMD 33446, 34932 Ex-UP 2792 & 2797 < nee UP SD45 3637 & SP 9097","EMD 33446, 34932 Ex-UP 2792 & 2797 < nee UP SD45 3637 & SP 9097",Ex-UP 2792 & 2797 < nee UP SD45 3637 & SP 9097
"2801 & 2808 SD40-2 (8, 4/68) EMD 34000, 33422 Ex-UP 2801 & 2808 < nee UP SD45 3613 & SP SD39 5302","SD40-2 (8, 4/68) EMD 34000, 33422 Ex-UP 2801 & 2808 < nee UP SD45 3613 & SP SD39 5302","EMD 34000, 33422 Ex-UP 2801 & 2808 < nee UP SD45 3613 & SP SD39 5302",Ex-UP 2801 & 2808 < nee UP SD45 3613 & SP SD39 5302
2810 SD40-2 (8/68) EMD 34002 Ex-UP 2810 < nee SP 5304,SD40-2 (8/68) EMD 34002 Ex-UP 2810 < nee SP 5304,EMD 34002 Ex-UP 2810 < nee SP 5304,Ex-UP 2810 < nee SP 5304
3070 SD40-2 (5/71) EMD 37428 Ex-SOO 753,SD40-2 (5/71) EMD 37428 Ex-SOO 753,EMD 37428 Ex-SOO 753,Ex-SOO 753
"3076 & 3084 SD40-2 (5/71, 12/66) EMD 37426, GMDD A2160/TH>    Ex-SOO SD40 751 & CP 5527","SD40-2 (5/71, 12/66) EMD 37426, GMDD A2160/TH>    Ex-SOO SD40 751 & CP 5527","EMD 37426, GMDD A2160/TH>    Ex-SOO SD40 751 & CP 5527",Ex-SOO SD40 751 & CP 5527
3104 SD40-2 (12/66) GMDD A2164 Ex-CP SD40 5531,SD40-2 (12/66) GMDD A2164 Ex-CP SD40 5531,GMDD A2164 Ex-CP SD40 5531,Ex-CP SD40 5531
"Credits   Locomotive data from Michael Richmond.    and RRpictures.Archive.netThanks to the following contributors/sources for roster update information:  Melvin Meeder",,,
