,index,Company,Abbr,Road No.,Model,Date,HP
90,33,Bruggere & Monson,BUGX,IC 1301,SW1300,Jul-45,
91,34,Bruggere & Monson,BUGX,1302,SW7,Jun-49,1200.0
92,35,Bruggere & Monson,BUGX,1322,GP7u,Jan-52,
93,36,Bruggere & Monson,BUGX,1331,GP7u,Dec-52,
94,37,Bruggere & Monson,BUGX,1375,SW1200RS,,1200.0
95,38,Bruggere & Monson,BUGX,1402,GMD1,Jan-59,1200.0
96,39,Bruggere & Monson,BUGX,1492 & 1497,SW14,,1000.0
97,40,Bruggere & Monson,BUGX,1501,SD7R,Aug-53,
98,41,Bruggere & Monson,BUGX,1533,SD7R,,
99,42,Bruggere & Monson,BUGX,1552,SD9R,Oct-55,
100,43,Bruggere & Monson,BUGX,1558,SW1500,Apr-69,1500.0
101,44,Bruggere & Monson,BUGX,1561 & 1562,SW1500,,1500.0
102,45,Bruggere & Monson,BUGX,1568,SW1500,Jul-72,1500.0
103,46,Bruggere & Monson,BUGX,1569 & 1571,SW1500,1571,1500.0
104,47,Bruggere & Monson,BUGX,1600,GP16,,1600.0
105,48,Bruggere & Monson,BUGX,1607,GP16,,1600.0
106,49,Bruggere & Monson,BUGX,1612,GP16,,1600.0
107,50,Bruggere & Monson,BUGX,1751,FP9,Nov-54,1750.0
108,51,Bruggere & Monson,BUGX,1754,FP9,Mar-57,1750.0
109,52,Bruggere & Monson,BUGX,1801,GP9E,Apr-59,
110,53,Bruggere & Monson,BUGX,1802,GP9,Jul-56,1750.0
111,54,Bruggere & Monson,BUGX,1803,GP9,,1750.0
112,55,Bruggere & Monson,BUGX,1852,SD9E,May-55,
113,56,Bruggere & Monson,BUGX,2000(1st),GP38,,2000.0
114,57,Bruggere & Monson,BUGX,2000(2nd),GP38,,2000.0
115,58,Bruggere & Monson,BUGX,2014,GP7u,Dec-52,
116,59,Bruggere & Monson,BUGX,2036,GP20,,2000.0
117,60,Bruggere & Monson,BUGX,2161,GP7U,,
118,61,Bruggere & Monson,BUGX,2197,GP7U,,
119,62,Bruggere & Monson,BUGX,2667,SW1500,,1500.0
120,63,Bruggere & Monson,BUGX,2746,SWD40M-2,,
121,64,Bruggere & Monson,BUGX,2769,SWD40M-2,,
122,65,Bruggere & Monson,BUGX,2779,SWD40M-2,,
123,66,Bruggere & Monson,BUGX,3229,SD40-2,1976,3000.0
124,67,Bruggere & Monson,BUGX,-3577,SD40-2,Jul-79,3000.0
125,68,Bruggere & Monson,BUGX,3804,GP9R,Mar-57,
126,69,Bruggere & Monson,BUGX,4127,GP20M,,
127,70,Bruggere & Monson,BUGX,4303,SD9E,1954,
128,71,Bruggere & Monson,BUGX,4304,SD9E,May-54,
129,72,Bruggere & Monson,BUGX,UP 4429-4438,SD70M,,4000.0
130,73,Bruggere & Monson,BUGX,UP 4439-4447,SD70M,,4000.0
131,74,Bruggere & Monson,BUGX,5989,F45,1968,3600.0
132,75,Bruggere & Monson,BUGX,7025,SD70M,,4000.0
133,76,Bruggere & Monson,BUGX,7082,GP9RM,,
134,77,Bruggere & Monson,BUGX,7260 & 7279,GP9RM,,
135,78,Bruggere & Monson,BUGX,7400,SD45R,Aug-66,
136,79,Bruggere & Monson,BUGX,7486,SD45R,,
137,80,Bruggere & Monson,BUGX,7520,SD40M-2,Apr-67,
138,81,Bruggere & Monson,BUGX,7523,SD45R,1967,
