,index,Company,Abbr,Road No.,Model,Date,HP
1182,55,The Helm Project,HELM,HATX 904-906,SD40M-2,Aug-74,
1183,56,The Helm Project,HELM,"HATX 909, 910 & 913",SD40M-2,Aug-74,
1184,57,The Helm Project,HELM,HATX 914,SD40M-2,Nov-72,
1185,58,The Helm Project,HELM,HATX 915 & 916,SD40M-2,Mar-69,
1186,59,The Helm Project,HELM,HATX 917-919,SD40M-2,Dec-69,
1187,60,The Helm Project,HELM,HATX 920-922,SD40M-2,Jan-67,
1188,61,The Helm Project,HELM,HATX 923 & 924,SD40M-2,Jan-67,
1189,62,The Helm Project,HELM,HATX 925 & 938,SD45T-2R,Jul-72,
1190,63,The Helm Project,HELM,"HATX 926, 27, 29 & 32",SD45T-2R,Feb-72,
1191,64,The Helm Project,HELM,"HATX 930, 31, 33 to 35",SD45T-2R,Mar-72,
1192,65,The Helm Project,HELM,"HATX 936, 937 & 945",SD45T-2R,Mar-73,
1193,66,The Helm Project,HELM,HATX 939-943,SD45T-2R,Mar-73,
1194,67,The Helm Project,HELM,HATX 1522-1525,SD40M-2,Aug-74,
1195,68,The Helm Project,HELM,HATX 1526,SD40M-2,Nov-72,
1196,69,The Helm Project,HELM,HATX 4411,GP40-2,Nov-68,3000.0
1197,70,The Helm Project,HELM,0007 & 0008,SW1200,Apr-58,1200.0
1198,71,The Helm Project,HELM,82 & 83,SW1500,Dec-73,1500.0
1199,72,The Helm Project,HELM,104,GP38,Dec-67,2000.0
1200,73,The Helm Project,HELM,108,GP38,Nov-67,2000.0
1201,74,The Helm Project,HELM,109,GP38,Aug-70,2000.0
1202,75,The Helm Project,HELM,111,GP38,Aug-70,2000.0
1203,76,The Helm Project,HELM,112,GP38,Nov-67,2000.0
1204,77,The Helm Project,HELM,115,GP38,Dec-70,2000.0
1205,78,The Helm Project,HELM,"118, 175 & 176",GP38,Dec-70,2000.0
1206,79,The Helm Project,HELM,178-180,GP38,May-71,2000.0
1207,80,The Helm Project,HELM,"200, 201 & 203",GP38-2 / GP38,Jan-73,
1208,81,The Helm Project,HELM,"205, 209 & 210",GP38-2 / GP38,Apr-73,
1209,82,The Helm Project,HELM,"256, 258, 263",GP38-2 / GP38,Apr-67,
1210,83,The Helm Project,HELM,301,GP40,Sep-66,3000.0
1211,84,The Helm Project,HELM,331,GP38-2,Jan-73,2000.0
1212,85,The Helm Project,HELM,343,GP38-2,Jan-73,2000.0
1213,86,The Helm Project,HELM,564-566,C36-7EM,May-79,
1214,87,The Helm Project,HELM,567-571,C36-7EM,May-79,
1215,88,The Helm Project,HELM,572-574,C36-7EM,Jul-79,
1216,89,The Helm Project,HELM,577-577,C36-7EM,Jul-79,
1217,90,The Helm Project,HELM,578-581,C36-7EM,Sep-78,
1218,91,The Helm Project,HELM,582 & 583,C36-7EM,Jan-79,
1219,92,The Helm Project,HELM,584-585,C36-7EM,Apr-79,
1220,93,The Helm Project,HELM,586 (2nd),C36-7EM,Apr-79,
1221,94,The Helm Project,HELM,587 (2nd),C36-7EM,Nov-77,
1222,95,The Helm Project,HELM,588(2nd) & 589(2nd),C36-7EM,Dec-77,
1223,96,The Helm Project,HELM,"590(2nd), 591-592",C36-7EM,May-79,
1224,97,The Helm Project,HELM,593-595,C36-7EM,Mar-78,
1225,98,The Helm Project,HELM,596-598,C36-7EM,Dec-78,
1226,99,The Helm Project,HELM,599,C36-7EM,Nov-77,
1227,100,The Helm Project,HELM,586-590,SDL39,Nov-72,2300.0
1228,101,The Helm Project,HELM,600,SD40,Nov-77,3000.0
1229,102,The Helm Project,HELM,650-654,GP40-3,Oct-67,
1230,103,The Helm Project,HELM,655,GP40-3,Oct-67,
1231,104,The Helm Project,HELM,655,GP40-3,Feb-72,
1232,105,The Helm Project,HELM,657-661,GP40-3,Dec-78,
1233,106,The Helm Project,HELM,662-664,GP40-3,Nov-66,
1234,107,The Helm Project,HELM,665 & 667,GP40-3,Jul-71,
1235,108,The Helm Project,HELM,670-672,SD40-2,Aug-76,3000.0
1236,109,The Helm Project,HELM,673 & 674,SD40-2,Aug-76,3000.0
1237,110,The Helm Project,HELM,675 & 676,SD40-2,Aug-76,3000.0
1238,111,The Helm Project,HELM,901,GP38-3 / GP38-2,Oct-67,
1239,112,The Helm Project,HELM,919,GP38-3 / GP38-2,Feb-70,
1240,113,The Helm Project,HELM,992,GP38-3 / GP38-2,Mar-79,
1241,114,The Helm Project,HELM,"1000, 1001 & 1003",GP38-2/,"7/66, 9/67, 5/66",
1242,115,The Helm Project,HELM,"1004, 1005 & 1009",GP38-2/,"2/67, 12/66, 10/66",
1243,116,The Helm Project,HELM,"1007, 1008 & 1012",GP38M-2,Sep-67,
1244,117,The Helm Project,HELM,"1006, 1010 & 1011",GP38M-2,"2/71, 12/69, 2/71",
1245,118,The Helm Project,HELM,1013-1015,GP38M-2,"2/67, 10/69, 10/66",
1246,119,The Helm Project,HELM,1016-1018,GP38M-2,"6, 10, 1/71",
1247,120,The Helm Project,HELM,"1019, 1020 & 1026",GP38M-2,"6/70; 12, 11/69",
1248,121,The Helm Project,HELM,1022 & 1023,GP38M-2,"9/71, 1/69",
1249,122,The Helm Project,HELM,1027-1029,GP38M-2,Jan-66,
1250,123,The Helm Project,HELM,1030-1033,GP38M-2,1/66; 4/70,
1251,124,The Helm Project,HELM,1034-1036,GP38M-2,May-66,
1252,125,The Helm Project,HELM,1037 & 1038,GP38M-2,"8, 10/67",
1253,126,The Helm Project,HELM,"1039, 1040 & 1050",GP38M-2,Dec-68,
1254,127,The Helm Project,HELM,1041 & 1042,GP38M-2,Dec-65,
1255,128,The Helm Project,HELM,1043-1045,GP38M-2,Aug-67,
1256,129,The Helm Project,HELM,1046-149,GP38M-2,"1/67, 10/66; 1/67",
1257,130,The Helm Project,HELM,1052 & 1055,GP38M-2,Dec-65,
1258,131,The Helm Project,HELM,1053 & 1054,GP38M-2,Nov-67,
1259,132,The Helm Project,HELM,1056-1059,GP38M-2,Nov-69,
1260,133,The Helm Project,HELM,"1060, 1061 & 1063",GP38M-2,Nov-69,
1261,134,The Helm Project,HELM,"1062, 1069 & 1070",GP38M-2,Dec-68,
1262,135,The Helm Project,HELM,"1064, 65, 67 & 68",GP38M-2,Nov-69,
1263,136,The Helm Project,HELM,1072-1076,GP38M-2,-0.184382284,
1264,137,The Helm Project,HELM,1078-81,GP38M-2,9/66; 2/67,
1265,138,The Helm Project,HELM,"1082, 1086 & 1087",GP38M-2,8/9/1968,
1266,139,The Helm Project,HELM,"1088, 1089 & 1093",GP38M-2,"11/71, 1/66, 9/68",
1267,140,The Helm Project,HELM,The GP38-2s/GP38M-2s summarized in this section were built predominantly from GP40s,GP38M-2,,
1268,141,The Helm Project,HELM,1204,SW1200,May-65,1200.0
1269,142,The Helm Project,HELM,1212,SW1200,--,1200.0
1270,143,The Helm Project,HELM,1219,SW1200,Sep-58,1200.0
1271,144,The Helm Project,HELM,1316,SW1200,Sep-58,1200.0
1272,145,The Helm Project,HELM,1400 and 1401,SW1500 / MP15AC,"4, 8/83",
1273,146,The Helm Project,HELM,1500,SW1500 / MP15AC,Dec-72,
1274,147,The Helm Project,HELM,1507,SW1500 / MP15AC,4/72/td>,
1275,148,The Helm Project,HELM,"1508, 1509 & 1511",SW1500 / MP15AC,4/69; 7/68/td>,
1276,149,The Helm Project,HELM,1512-1514,SW1500 / MP15AC,12/68; 12/69/td>,
1277,150,The Helm Project,HELM,"1521, 1524, 1525",SW1500 / MP15AC,"6,6,8/73",
1278,151,The Helm Project,HELM,1526 & 1527,SW1500 / MP15AC,7-8/83-,
1279,152,The Helm Project,HELM,1800-1801 & 03-06,GP38-2,Jan-72,2000.0
1280,153,The Helm Project,HELM,1803-1806,GP38-2,Jan-72,2000.0
1281,154,The Helm Project,HELM,"1802, 07, 10-11 & 14",GP38-2,Jan-72,2000.0
1282,155,The Helm Project,HELM,"1808, 1809 & 1812",GP38-2,--/72,2000.0
1283,156,The Helm Project,HELM,1815-1818,GP38-2,1/2/1972,2000.0
1284,157,The Helm Project,HELM,1816 & 1819-1822,GP38-2,x/72,2000.0
1285,158,The Helm Project,HELM,"1823, 1826 & 1828",GP38-2,Oct-72,2000.0
1286,159,The Helm Project,HELM,"1824, 1825 & 1827",GP38-2,x/72,2000.0
1287,160,The Helm Project,HELM,1829 & 1830,GP38-2,x/72,2000.0
1288,161,The Helm Project,HELM,"1831, 1835 & 1837",GP38-2,3/5/1973,2000.0
1289,162,The Helm Project,HELM,"1832-34, 1836 & 1838",GP38-2,x/73,2000.0
1290,163,The Helm Project,HELM,"1839, 1841 & 1842",GP38-2,"3, 5, 5/73",2000.0
1291,164,The Helm Project,HELM,"1840, 1843 & 1844",GP38-2,x/73,2000.0
1292,165,The Helm Project,HELM,1845 & 48-50,GP38-2,Sep-74,2000.0
1293,166,The Helm Project,HELM,1851-1853,GP38-2,x/74,2000.0
1294,167,The Helm Project,HELM,2000 & 2001,GP28,Nov-64,1800.0
1295,168,The Helm Project,HELM,2001(2nd),SD38-2,Apr-78,2000.0
1296,169,The Helm Project,HELM,2002(2nd),SD38-2,Sep-81,2000.0
1297,170,The Helm Project,HELM,"2009, 20, 23 & 27",GP38,Aug-69,2000.0
1298,171,The Helm Project,HELM,"2034, 2038 & 2045",GP38,Oct-69,2000.0
1299,172,The Helm Project,HELM,2838 & 2861,SD40T-2,"3, 2/73",3000.0
1300,173,The Helm Project,HELM,2863,SD40T-2,Feb-75,3000.0
1301,174,The Helm Project,HELM,3000 & 3006,SD40,Mar-67,3000.0
1302,175,The Helm Project,HELM,"3008-10, 14 & 15",SD40,Mar-67,3000.0
1303,176,The Helm Project,HELM,3023,SD40,Feb-68,3000.0
1304,177,The Helm Project,HELM,3064-66 & 3069,SD40,Jan-70,3000.0
1305,178,The Helm Project,HELM,3087,SD40,/71,3000.0
1306,179,The Helm Project,HELM,"3091, 3093",SD40,Aug-73,3000.0
1307,180,The Helm Project,HELM,3099-3102,SD40,Aug-73,3000.0
1308,181,The Helm Project,HELM,3120 (2nd),SD40,Dec-73,3000.0
1309,182,The Helm Project,HELM,"3101, 3102 & 3104",SD45,Mar-70,3600.0
1310,183,The Helm Project,HELM,"3106, 3110-3113",SD45,Dec-67,3600.0
1311,184,The Helm Project,HELM,3116-3121,SD45,Dec-67,3600.0
1312,185,The Helm Project,HELM,"3125, 3131 & 3144",SD45,Nov-67,3600.0
1313,186,The Helm Project,HELM,3161 & 3164-69,SD45,Mar-70,3600.0
1314,187,The Helm Project,HELM,3170,SD45,Apr-71,3600.0
1315,188,The Helm Project,HELM,3512,SD45,Jan-72,3600.0
1316,189,The Helm Project,HELM,"3517, 3518 & 3520",GP40,Aug-70,3000.0
1317,190,The Helm Project,HELM,3524 and 3525,GP40,Aug-70,3000.0
1318,191,The Helm Project,HELM,3605-3608,GP38 / GP38M-2,9/10/1969,
1319,192,The Helm Project,HELM,3609 & 3613,GP38 / GP38M-2,"10, 10, 9/69",
1320,193,The Helm Project,HELM,3610-12 & 3614-15,GP38 / GP38M-2,"10, 10, 9/69",
1321,194,The Helm Project,HELM,3617-3619,GP38 / GP38M-2,"9/67, 8/69, 1/66",
1322,195,The Helm Project,HELM,3621-23,GP38 / GP38M-2,"7/69, 2/71, 11/69",
1323,196,The Helm Project,HELM,3624-3628,GP38 / GP38M-2,12/10/1967,
1324,197,The Helm Project,HELM,3629-3631,GP38 / GP38M-2,"8, 9, 6/69",
1325,198,The Helm Project,HELM,3632 & 3633,GP38 / GP38M-2,"6, 10/67",
1326,199,The Helm Project,HELM,"3662, 3667-3669",GP38 / GP38M-2,10;11/67,
1327,200,The Helm Project,HELM,3675-3678,GP38 / GP38M-2,Mar-71,
1328,201,The Helm Project,HELM,3679 & 3680,GP38 / GP38M-2,"3, 5/71",
1329,202,The Helm Project,HELM,3681,GP38 / GP38M-2,Dec-71,
1330,203,The Helm Project,HELM,3695,GP38 / GP38M-2,Mar-69,
1331,204,The Helm Project,HELM,3700,GP38-2/,Dec-70,
1332,205,The Helm Project,HELM,3710,GP38-2/,Sep-80,
1333,206,The Helm Project,HELM,3711-3713,GP38M-2,Sep-74,
1334,207,The Helm Project,HELM,3714,GP38M-2,May-85,
1335,208,The Helm Project,HELM,3750 & 3751,GP38M-2,"3, 7/71",
1336,209,The Helm Project,HELM,3800 & 3801,GP38M-2,Oct-75,
1337,210,The Helm Project,HELM,3803,GP38M-2,Jun-82,
1338,211,The Helm Project,HELM,3804,GP38M-2,Sep-74,
1339,212,The Helm Project,HELM,3805,GP38M-2,Sep-80,
1340,213,The Helm Project,HELM,3806,GP38M-2,Nov-69,
1341,214,The Helm Project,HELM,3810,GP38M-2,Sep-80,
1342,215,The Helm Project,HELM,3813 & 3814,GP38M-2,"9/79, 5/85",
1343,216,The Helm Project,HELM,3815-3816,GP38M-2,Oct-72,
1344,217,The Helm Project,HELM,3817-3821,GP38M-2,Sep-78,
1345,218,The Helm Project,HELM,3822-3826,GP38M-2,Sep-78,
1346,219,The Helm Project,HELM,3827-3830,GP38M-2,Sep-78,
1347,220,The Helm Project,HELM,3831-3835,GP38M-2,5/6/1979,
1348,221,The Helm Project,HELM,3836-3840,GP38M-2,Jun-79,
1349,222,The Helm Project,HELM,3841-3846,GP38M-2,Sep-72,
1350,223,The Helm Project,HELM,3847 & 3855,GP38M-2,Oct-72,
1351,224,The Helm Project,HELM,3848-3854,GP38M-2,9/10/1972,
1352,225,The Helm Project,HELM,3856 - 3857,GP38M-2,Oct-73,
1353,226,The Helm Project,HELM,3858-59 & 3862,GP38M-2,"10, 10, 9/72",
1354,227,The Helm Project,HELM,3875-3878,GP38M-2,"--. 3/67, 8/68",
1355,228,The Helm Project,HELM,"3883, 84, 88 & 89",GP38M-2,2/5/1973,
1356,229,The Helm Project,HELM,"--, 71702-37",3893 & (3894),#3894 sold is ex-HLCX 346 < UP 346 < UP 1846 < HATX 216 < UP/MP 2110 < nee MP GP38 959,
1357,230,The Helm Project,HELM,3950-52,GP39-2,Oct-78,2300.0
1358,231,The Helm Project,HELM,3953,GP39M-3,Jun-69,
1359,232,The Helm Project,HELM,"4000, 4002 & 4003",GP40,"12, 10, 9/66",3000.0
1360,233,The Helm Project,HELM,4001,GP40,Jan-67,3000.0
1361,234,The Helm Project,HELM,4050-4055,GP40,3/4/1966,3000.0
1362,235,The Helm Project,HELM,"4057, 4060-4062",SD40,Jan-70,3000.0
1363,236,The Helm Project,HELM,4066 & 4069,SD40,Jan-70,3000.0
1364,237,The Helm Project,HELM,4200 & 4201,GP40-2,"1/67, 10/66",3000.0
1365,238,The Helm Project,HELM,4202,GP40-2,May-74,3000.0
1366,239,The Helm Project,HELM,4203-4205,GP40-2,"7/67; 3, 7/71",3000.0
1367,240,The Helm Project,HELM,4208,GP40-2,Oct-84,3000.0
1368,241,The Helm Project,HELM,4210,GP40-2,Nov-84,3000.0
1369,242,The Helm Project,HELM,4212,GP40-2,Oct-84,3000.0
1370,243,The Helm Project,HELM,4215 & 4216,GP40-2,Nov-84,3000.0
1371,244,The Helm Project,HELM,4213 & 4219,GP40-2,Oct-84,3000.0
1372,245,The Helm Project,HELM,"4220, 4224 & 4225",GP40-2,"1, 9/67, 9/71",3000.0
1373,246,The Helm Project,HELM,4221 & 4222,GP40-2,Dec-77,3000.0
1374,247,The Helm Project,HELM,4275,GP40-2,Dec-77,3000.0
1375,248,The Helm Project,HELM,4290-4292,GP40-2LW,Mar-76,3000.0
1376,249,The Helm Project,HELM,4300,GP40X / GP40,Feb-78,
1377,250,The Helm Project,HELM,4301 & 4302,GP40X / GP40,"9/66, 10/67",
1378,251,The Helm Project,HELM,4400--4401,GP40-3,"9/68, 10/67",
1379,252,The Helm Project,HELM,4402-4403,GP40-3,"7/71, 2/70",
1380,253,The Helm Project,HELM,4404-4407,GP40-3,12/68; 10-11/67,
1381,254,The Helm Project,HELM,4408-4411,GP40-3,Nov-68,
1382,255,The Helm Project,HELM,4412-4414,GP40-3,Oct-67,
1383,256,The Helm Project,HELM,4415 & 4416,GP40-3,"7/71, 10/66",
1384,257,The Helm Project,HELM,4509?,GP9,--,1750.0
1385,258,The Helm Project,HELM,4873,GP38-2,Sep-72,2000.0
1386,259,The Helm Project,HELM,5000,SD40,Sep-71,3000.0
1387,260,The Helm Project,HELM,5001-5003,SD40,"5/71, 4/70",3000.0
1388,261,The Helm Project,HELM,5004-5006,SD40,Jul-72,3000.0
1389,262,The Helm Project,HELM,5007-5009,SD40,Jul-72,3000.0
1390,263,The Helm Project,HELM,5010 & 5011,SD40,"1/69, 3/666",3000.0
1391,264,The Helm Project,HELM,5015,SD40,Mar-66,3000.0
1392,265,The Helm Project,HELM,"5016, 5019 & 5020",SD40,"3,3,2/66",3000.0
1393,266,The Helm Project,HELM,5019(2ND)-5023(2ND),SD40,Jan-70,3000.0
1394,267,The Helm Project,HELM,5021-5023,SD40,"12/70, -, 12/70",3000.0
1395,268,The Helm Project,HELM,5024 & 5025,SD40,"1/71, 2/66",3000.0
1396,269,The Helm Project,HELM,5026 & 5027,SD40,Dec-70,3000.0
1397,270,The Helm Project,HELM,5028-5031,SD40,Dec-70,3000.0
1398,271,The Helm Project,HELM,5032-5034,SD40,Jan-71,3000.0
1399,272,The Helm Project,HELM,5035-5037,SD40,"5/67, 2/66",3000.0
1400,273,The Helm Project,HELM,5038-5040,SD40,Feb-66,3000.0
1401,274,The Helm Project,HELM,5041-5044,SD40,Feb-66,3000.0
1402,275,The Helm Project,HELM,5045-5047,SD40,Mar-66,3000.0
1403,276,The Helm Project,HELM,"5048, 5054",SD40,"3, 7/66",3000.0
1404,277,The Helm Project,HELM,"5055, 56, 57 & 59",SD40,4/70; 7/72,3000.0
1405,278,The Helm Project,HELM,5060-5062,SD40,5/68; 12/71,3000.0
1406,279,The Helm Project,HELM,5063 & 5064,SD40,Nov-71,3000.0
1407,280,The Helm Project,HELM,5065,SD40,Jan-72,3000.0
1408,281,The Helm Project,HELM,5070-5089,SD40,--,3000.0
1409,282,The Helm Project,HELM,5113 & 5126,C30-7,Jul-80,3000.0
1410,283,The Helm Project,HELM,5500-5509,C30-7,Dec-76,3000.0
1411,284,The Helm Project,HELM,"5951, 5953-55 5958",SD60,8/9/1986,3800.0
1412,285,The Helm Project,HELM,5962-64 & 5966-69,SD60,9/10/1986,3800.0
1413,286,The Helm Project,HELM,"5971, 5974 & 5977",SD60,Aug-86,3800.0
1414,287,The Helm Project,HELM,"5983, 5984 & 5986",SD60,8/9/1986,3800.0
1415,288,The Helm Project,HELM,"5983-84, 86, 91-4, 98",SD60,9/10/1986,3800.0
1416,289,The Helm Project,HELM,6000,SD40M-3,May-74,
1417,290,The Helm Project,HELM,6050 & 6052,SD40M-3,Mar-66,
1418,291,The Helm Project,HELM,6051 & 6053,SD40M-3,Jan-70,
1419,292,The Helm Project,HELM,6054 & 6055,SD40M-3,"9/71, 4/70",
1420,293,The Helm Project,HELM,6056-6058,SD40M-3,"11, 10/66, 3/67",
1421,294,The Helm Project,HELM,6059 & 6062,SD40M-3,"8, 2/71",
1422,295,The Helm Project,HELM,6060,SD40M-3,Oct-66,
1423,296,The Helm Project,HELM,6061 & 6063-6065,SD40M-3,Feb-66,
1424,297,The Helm Project,HELM,"6066, 6068 & 6069",SD40M-3,Feb-66,
1425,298,The Helm Project,HELM,6067 & 6070,SD40M-3,"5/67, 1/69",
1426,299,The Helm Project,HELM,6071 & 6073,SD40M-3,"4, 1/70",
1427,300,The Helm Project,HELM,"6072, 6074 & 6078",SD40M-3,"3,2,3/66",
1428,301,The Helm Project,HELM,"6075, 6076 & 6081",SD40M-3,9/10/1971,
1429,302,The Helm Project,HELM,6077,SD40M-3,Oct-71,
1430,303,The Helm Project,HELM,6079 & 6080,SD40M-3,Jan-70,
1431,304,The Helm Project,HELM,6082,SD40M-3,Nov-66,
1432,305,The Helm Project,HELM,"6083, 6084 & 6086",SD40M-3,Mar-66,
1433,306,The Helm Project,HELM,6085,SD40M-3,Nov-71,
1434,307,The Helm Project,HELM,6090-6092,SD40M-3,"4/70, 9/71, 4/70",
1435,308,The Helm Project,HELM,6100,SD40M-3,Oct-71,
1436,309,The Helm Project,HELM,6101,SD40T-2,Feb-79,3000.0
1437,310,The Helm Project,HELM,6102-6104,SD40T-2,Jun-74,3000.0
1438,311,The Helm Project,HELM,6105-6106,SD40T-2,Jun-74,3000.0
1439,312,The Helm Project,HELM,6105-6106,SD40T-2,Jun-74,3000.0
1440,313,The Helm Project,HELM,6107,SD40T-2,Jan-78,3000.0
1441,314,The Helm Project,HELM,6108 & 6109,SD40T-2,Mar-78,3000.0
1442,315,The Helm Project,HELM,6110,SD40T-2,Jun-78,3000.0
1443,316,The Helm Project,HELM,6111-6114,SD40T-2,1/2/1978,3000.0
1444,317,The Helm Project,HELM,6115 & 6116,SD40T-2,"12/78, 1/79",3000.0
1445,318,The Helm Project,HELM,6124-28,SD40T-2,Feb-78,3000.0
1446,319,The Helm Project,HELM,6129,SD40T-2,Jan-78,3000.0
1447,320,The Helm Project,HELM,6130-6132,SD40T-2,Jun-74,3000.0
1448,321,The Helm Project,HELM,6133-6138,SD40T-2,Feb-78,3000.0
1449,322,The Helm Project,HELM,6139-6141,SD40T-2,"12/78, 1/79",3000.0
1450,323,The Helm Project,HELM,6142-6150,SD40T-2,Jan-77,3000.0
1451,324,The Helm Project,HELM,6151,SD40T-2,Jul-74,3000.0
1452,325,The Helm Project,HELM,6152-6154,SD40T-2,"3, 2/78",3000.0
1453,326,The Helm Project,HELM,6155,SD40T-2,Feb-79,3000.0
1454,327,The Helm Project,HELM,6156 & 6157,SD40T-2,Jun-74,3000.0
1455,328,The Helm Project,HELM,6158-6160,SD40T-2,"3, 2/78",3000.0
1456,329,The Helm Project,HELM,6162 & 6197,SD40T-2,--,3000.0
1457,330,The Helm Project,HELM,6200 & 6201,SD40-2,"2/74, 8/71",3000.0
1458,331,The Helm Project,HELM,6202 & 6203,SD40-2,"6/71, 3/73",3000.0
1459,332,The Helm Project,HELM,6202(2nd),SD40M-2,Mar-78,
1460,333,The Helm Project,HELM,6204-6210,SD40M-2,Nov-78,
1461,334,The Helm Project,HELM,"6211-6213, 6215",SD40M-2,May-74,
1462,335,The Helm Project,HELM,6214,SD40M-2,Feb-66,
1463,336,The Helm Project,HELM,6216,SD40M-2,Apr-72,
1464,337,The Helm Project,HELM,6217-6221,SD40M-2,3/4/1973,
1465,338,The Helm Project,HELM,6222-6224,SD40M-2,"10/67, 1-/66, 1/70",
1466,339,The Helm Project,HELM,6225-27 & 6229,SD40M-2,4/72; 4/73; 10/77,
1467,340,The Helm Project,HELM,6228,SD40M-2,Jul-72,
1468,341,The Helm Project,HELM,"6230, 36, 39 & 40",SD40M-2,3/4/1977,
1469,342,The Helm Project,HELM,6231 & 6237,SD40M-2,May-78,
1470,343,The Helm Project,HELM,6232 & 6241,SD40M-2,Nov-80,
1471,344,The Helm Project,HELM,6233,SD40M-2,Sep-81,
1472,345,The Helm Project,HELM,6234,SD40M-2,Apr-80,
1473,346,The Helm Project,HELM,6235,SD40M-2,May-77,
1474,347,The Helm Project,HELM,"6242-43, 45-47",SD40M-2,May-74,
1475,348,The Helm Project,HELM,6244,SD40M-2,0.108108108,
1476,349,The Helm Project,HELM,6248 & 6249,SD40M-2,"4/80, 8/78",
1477,350,The Helm Project,HELM,6250 & 6251,SD40M-2,"5/79, --",
1478,351,The Helm Project,HELM,6252 & 6253,SD40M-2,"7/80, 2/74",
1479,352,The Helm Project,HELM,6254,SD40M-2,Sep-78,
1480,353,The Helm Project,HELM,6255,SD40M-2,Feb-75,
1481,354,The Helm Project,HELM,6256 & 6257,SD40M-2,"8, 1/79",
1482,355,The Helm Project,HELM,6258,SD40M-2,Sep-76,
1483,356,The Helm Project,HELM,6296-6299,SD40M-2,10/11/1978,
1484,357,The Helm Project,HELM,6300-6302,SD40M-2,"9/71, 3/55, 3/67",
1485,358,The Helm Project,HELM,6303-6305,SD40M-2,"2/68, 3/66. 3/67",
1486,359,The Helm Project,HELM,"6306, 6307 & 6313",SD40M-2,"12/69, 5/71, 2/72",
1487,360,The Helm Project,HELM,6308-6310,SD40M-2,"1/69, 7/70, 2/68",
1488,361,The Helm Project,HELM,6311 & 6312,SD40M-2,Dec-71,
1489,362,The Helm Project,HELM,"6314, 6315 & 6319",SD40M-2,"7, 10/66; 6/71",
1490,363,The Helm Project,HELM,6317 & 6318,SD40M-2,"2/66, 10/67",
1491,364,The Helm Project,HELM,"6320, 6321 & 6325",SD40M-2,"3, 10/66; 8/71",
1492,365,The Helm Project,HELM,"6326, 6327 & 6330",SD40M-2,Jan-71,
1493,366,The Helm Project,HELM,"6328, 6329 & 6331",SD40M-2,12/70; 12/71,
1494,367,The Helm Project,HELM,6332-6336,SD40M-2,1/3/1966,
1495,368,The Helm Project,HELM,6337-6341,SD40M-2,1/6/1966,
1496,369,The Helm Project,HELM,6359-6362,SD40M-2,May-74,
1497,370,The Helm Project,HELM,6363-6370,SD40M-2,5/74/th>,
1498,371,The Helm Project,HELM,6384-6388,SD40M-2,May-74,
1499,372,The Helm Project,HELM,6399,SD40M-2,Mar-65,
1500,373,The Helm Project,HELM,6400-6402,SD40M-2,"12/67, 1/70, 2/69",
1501,374,The Helm Project,HELM,6403-6405,SD40M-2,"4, 2/67, 2/69",
1502,375,The Helm Project,HELM,6406-6407,SD40M-2,"8/66, 8/74",
1503,376,The Helm Project,HELM,6408-6410,SD40M-2,-0.067567568,
1504,377,The Helm Project,HELM,6411 & 6412,SD40M-2,-0.067567568,
1505,378,The Helm Project,HELM,"6414, 6417 & 6421",GP40-2,Oct-73,3000.0
1506,379,The Helm Project,HELM,6422 & 6423,GP40-2,Nov-79,3000.0
1507,380,The Helm Project,HELM,6425,SD40M-2,--,
1508,381,The Helm Project,HELM,6429,SD40M-2,May-72,
1509,382,The Helm Project,HELM,6435-6437,SD40M-2,4/68; /66,
1510,383,The Helm Project,HELM,6445 & 6466,SD40M-2,"4/67, 1/69",
1511,384,The Helm Project,HELM,6450 and 6451,SD40M-2,Aug-74,
1512,385,The Helm Project,HELM,6450 and 6451,SD40M-2,--,
1513,386,The Helm Project,HELM,6500(1st) & 6500(2nd),SD40M-2,"5/74, 1/68",
1514,387,The Helm Project,HELM,6501-6503,SD40M-2,1/68; 7/70,
1515,388,The Helm Project,HELM,6504-6506,SD40M-2,1/68;,
1516,389,The Helm Project,HELM,6507-6509,SD40M-2,"8/71, 7/68, 1/69",
1517,390,The Helm Project,HELM,6510,SD40M-2,Jun-71,
1518,391,The Helm Project,HELM,6511-6513,SD40M-2,"10/68, 11/66, 1/68",
1519,392,The Helm Project,HELM,6514-6516,SD40M-2,"1/68, 7/70, 9/68",
1520,393,The Helm Project,HELM,6517-6520,SD40M-2,Oct-71,
1521,394,The Helm Project,HELM,6521 & 6522,SD40M-2,"10/71, 4/68",
1522,395,The Helm Project,HELM,6523-6525,SD40M-2,"10/66, 3/68, 1/767",
1523,396,The Helm Project,HELM,6536 & 6550,SD40M-2,"8/71, 3/70",
1524,397,The Helm Project,HELM,6557 & 6567,SD40M-2,Dec-71,
1525,398,The Helm Project,HELM,6600,SD40M-2,Jan-68,
1526,399,The Helm Project,HELM,"6613, 6681 & 6695",SD40M-2,"8, 9, 12/69",
1527,400,The Helm Project,HELM,6700-6709,C30-7,Nov-77,3000.0
1528,401,The Helm Project,HELM,6844 & 6846,SD40-2,Jul-78,3000.0
1529,402,The Helm Project,HELM,6900 and 6902,C36-7E / C36-M,"12/78, 5/79",
1530,403,The Helm Project,HELM,6901,C36-7E / C36-M,Oct-79,
1531,404,The Helm Project,HELM,6964,SD40,Jan-70,3000.0
1532,405,The Helm Project,HELM,"6973, 6997, 6998",SD40,"6/68, 11-12/71",3000.0
