0,1,2,3
Road No.,Model (& Date),Bldr Nmbr,Notes
"3
GP20 (4/60)
EMD 25564
Ex-WAER 2003 < IHRC 303 < BN 2003 < nee GN 2003","GP20 (4/60)
EMD 25564
Ex-WAER 2003 < IHRC 303 < BN 2003 < nee GN 2003","EMD 25564
Ex-WAER 2003 < IHRC 303 < BN 2003 < nee GN 2003",Ex-WAER 2003 < IHRC 303 < BN 2003 < nee GN 2003
"13
SD9m (4/57)
EMD 23171
Ex-NS 56 < NS 2956 < N&W 2356 < nee NKP 356","SD9m (4/57)
EMD 23171
Ex-NS 56 < NS 2956 < N&W 2356 < nee NKP 356","EMD 23171
Ex-NS 56 < NS 2956 < N&W 2356 < nee NKP 356",Ex-NS 56 < NS 2956 < N&W 2356 < nee NKP 356
"23
SW9 (12/51)
EMD 15607
Ex-AZER 23 < Inspiration Copper 23 < nee Anaconda Copper 23","SW9 (12/51)
EMD 15607
Ex-AZER 23 < Inspiration Copper 23 < nee Anaconda Copper 23","EMD 15607
Ex-AZER 23 < Inspiration Copper 23 < nee Anaconda Copper 23",Ex-AZER 23 < Inspiration Copper 23 < nee Anaconda Copper 23
"82
SW1200 (8/65)
EMD 30514
Ex-CSX 1301 < nee RF&P 82; leased to the Rogue River Valley Terminal Rwy in Oregon","SW1200 (8/65)
EMD 30514
Ex-CSX 1301 < nee RF&P 82; leased to the Rogue River Valley Terminal Rwy in Oregon","EMD 30514
Ex-CSX 1301 < nee RF&P 82; leased to the Rogue River Valley Terminal Rwy in Oregon",Ex-CSX 1301 < nee RF&P 82; leased to the Rogue River Valley Terminal Rwy in Oregon
"120
SW900 (4/59)
EMD 23451
Blt from Rock Island SW #517 (???)","SW900 (4/59)
EMD 23451
Blt from Rock Island SW #517 (???)","EMD 23451
Blt from Rock Island SW #517 (???)",Blt from Rock Island SW #517 (???)
"149
SW9
EMD 13297
Ex-GN","SW9
EMD 13297
Ex-GN","EMD 13297
Ex-GN",Ex-GN
"165
SW1200
EMD 22484
Ex-GN","SW1200
EMD 22484
Ex-GN","EMD 22484
Ex-GN",Ex-GN
"201 & 205
SD38AC
EMD 37069, 37073
Ex-DMIR","SD38AC
EMD 37069, 37073
Ex-DMIR","EMD 37069, 37073
Ex-DMIR",Ex-DMIR
"251
GP35
EMD 29224
Ex-Indiana Southern 251 < ex-I&O 251 < NS 224 < nee N&W 224","GP35
EMD 29224
Ex-Indiana Southern 251 < ex-I&O 251 < NS 224 < nee N&W 224","EMD 29224
Ex-Indiana Southern 251 < ex-I&O 251 < NS 224 < nee N&W 224",Ex-Indiana Southern 251 < ex-I&O 251 < NS 224 < nee N&W 224
"311
65-Tonner
GE
On lease to Inland Empire Paper in Washhington","65-Tonner
GE
On lease to Inland Empire Paper in Washhington","GE
On lease to Inland Empire Paper in Washhington",On lease to Inland Empire Paper in Washhington
"315
F40PH (1979)
EMD 777107-6
Ex-Amtrak #315","F40PH (1979)
EMD 777107-6
Ex-Amtrak #315","EMD 777107-6
Ex-Amtrak #315",Ex-Amtrak #315
"316 & 318
GP16
EMD 12296, 25313
Ex-Clinchfield 4603 and Milwaukee Road","GP16
EMD 12296, 25313
Ex-Clinchfield 4603 and Milwaukee Road","EMD 12296, 25313
Ex-Clinchfield 4603 and Milwaukee Road",Ex-Clinchfield 4603 and Milwaukee Road
