0,1,2,3,4
"RMGX 5011 & 5013-24
42575, 42577-88
10/79
Ex-BNSF 5011 & 5013-24 < nee BN 5011 & 5013-24","42575, 42577-88
10/79
Ex-BNSF 5011 & 5013-24 < nee BN 5011 & 5013-24","10/79
Ex-BNSF 5011 & 5013-24 < nee BN 5011 & 5013-24",Ex-BNSF 5011 & 5013-24 < nee BN 5011 & 5013-24,
"RMGX 5026-36 & 39-41
42590-600, 42603-05
10-11/79
Ex-BNSF 5026-36 & 39-41 < nee BN 5026-36 & 39-41","42590-600, 42603-05
10-11/79
Ex-BNSF 5026-36 & 39-41 < nee BN 5026-36 & 39-41","10-11/79
Ex-BNSF 5026-36 & 39-41 < nee BN 5026-36 & 39-41",Ex-BNSF 5026-36 & 39-41 < nee BN 5026-36 & 39-41,
"RMGX 5043, 45 & 46
42607, 09 & 10
11/79
Ex-BNSF 5043, 45 & 46 < nee BN 5043, 45 & 46","42607, 09 & 10
11/79
Ex-BNSF 5043, 45 & 46 < nee BN 5043, 45 & 46","11/79
Ex-BNSF 5043, 45 & 46 < nee BN 5043, 45 & 46","Ex-BNSF 5043, 45 & 46 < nee BN 5043, 45 & 46",
"RMGX 5049, 57 & 78
42841, 49 & 50
3-4/80
Ex-BNSF 5049, 57 & 78 < nee BN 5049, 57 & 78","42841, 49 & 50
3-4/80
Ex-BNSF 5049, 57 & 78 < nee BN 5049, 57 & 78","3-4/80
Ex-BNSF 5049, 57 & 78 < nee BN 5049, 57 & 78","Ex-BNSF 5049, 57 & 78 < nee BN 5049, 57 & 78",
"RMGX 5574 & 5576
42175, 42177
2/79
Ex-BNSF 5574 & 5576 < nee BN 5574 & 5576","42175, 42177
2/79
Ex-BNSF 5574 & 5576 < nee BN 5574 & 5576","2/79
Ex-BNSF 5574 & 5576 < nee BN 5574 & 5576",Ex-BNSF 5574 & 5576 < nee BN 5574 & 5576,
"SD40 / SD40A (GMDD)
RMGX 5126, 44, 60 & 5207 
A2385, 2403, 19 & 2524
12/69-1/70, 9/79
Ex-CN 5126, 5144, 5160 & 5207","RMGX 5126, 44, 60 & 5207 
A2385, 2403, 19 & 2524
12/69-1/70, 9/79
Ex-CN 5126, 5144, 5160 & 5207","A2385, 2403, 19 & 2524
12/69-1/70, 9/79
Ex-CN 5126, 5144, 5160 & 5207","12/69-1/70, 9/79
Ex-CN 5126, 5144, 5160 & 5207","Ex-CN 5126, 5144, 5160 & 5207"
"RMGX 6006 & 6008
A2393, 2425
1, 2/71
Ex-Illinois Central 6006 & 6008 < nee CN 5134 & 5166","A2393, 2425
1, 2/71
Ex-Illinois Central 6006 & 6008 < nee CN 5134 & 5166","1, 2/71
Ex-Illinois Central 6006 & 6008 < nee CN 5134 & 5166",Ex-Illinois Central 6006 & 6008 < nee CN 5134 & 5166,
"GP40-2 (EMD)
RMPX 6409 & 6424
7359-4, 786215-3
10/72, 11/79
Ex-GTW 6409 & 6424 < nee DT&I 409 & 424","RMPX 6409 & 6424
7359-4, 786215-3
10/72, 11/79
Ex-GTW 6409 & 6424 < nee DT&I 409 & 424","7359-4, 786215-3
10/72, 11/79
Ex-GTW 6409 & 6424 < nee DT&I 409 & 424","10/72, 11/79
Ex-GTW 6409 & 6424 < nee DT&I 409 & 424",Ex-GTW 6409 & 6424 < nee DT&I 409 & 424
"SW1200RS (GMDD)
RMGX 8105, 8121 & 8122
A1485, 1501 & 1502
6,8,9/58
Ex-CP 8105, 8121 & 8122","RMGX 8105, 8121 & 8122
A1485, 1501 & 1502
6,8,9/58
Ex-CP 8105, 8121 & 8122","A1485, 1501 & 1502
6,8,9/58
Ex-CP 8105, 8121 & 8122","6,8,9/58
Ex-CP 8105, 8121 & 8122","Ex-CP 8105, 8121 & 8122"
"GP10 / GP11 (EMD)
RMPX 8178
20816
1/56
Ex-ICG 817 < IC 9178","RMPX 8178
20816
1/56
Ex-ICG 817 < IC 9178","20816
1/56
Ex-ICG 817 < IC 9178","1/56
Ex-ICG 817 < IC 9178",Ex-ICG 817 < IC 9178
"RMPX 8409 & 8417
18809, 20801
5/54, 1/56
Ex-CC&P 8409 & 8417 < ICG 8409 & 8417 < IC 9012 & 9163","18809, 20801
5/54, 1/56
Ex-CC&P 8409 & 8417 < ICG 8409 & 8417 < IC 9012 & 9163","5/54, 1/56
Ex-CC&P 8409 & 8417 < ICG 8409 & 8417 < IC 9012 & 9163",Ex-CC&P 8409 & 8417 < ICG 8409 & 8417 < IC 9012 & 9163,
"RMPX 8708, 8729 & 8753
2215, 20177, 23810
7/56, 3/55, 12/57
GP11; ex-NH 1204, IC 9098 & 9310","2215, 20177, 23810
7/56, 3/55, 12/57
GP11; ex-NH 1204, IC 9098 & 9310","7/56, 3/55, 12/57
GP11; ex-NH 1204, IC 9098 & 9310","GP11; ex-NH 1204, IC 9098 & 9310",
"GP40 (GMDD)
RMGX 9302, 03 & 07
A2165-66 & 2170
5/66
Ex-CN 4002-03 & 4007","RMGX 9302, 03 & 07
A2165-66 & 2170
5/66
Ex-CN 4002-03 & 4007","A2165-66 & 2170
5/66
Ex-CN 4002-03 & 4007","5/66
Ex-CN 4002-03 & 4007",Ex-CN 4002-03 & 4007
"RMGX 9308 & 9310
A2171, 2173
6/66
Ex-CN 4008 & 4010","A2171, 2173
6/66
Ex-CN 4008 & 4010","6/66
Ex-CN 4008 & 4010",Ex-CN 4008 & 4010,
