0,1,2,3,4
Model (& Bldr),Road No.,Serial No.,Date,Notes
"SD20-2 (EMD)
2404
--
--
To Cycle for scrap; ex-CSX 2404 < B&O 7704 < nee B&O 7404","2404
--
--
To Cycle for scrap; ex-CSX 2404 < B&O 7704 < nee B&O 7404","--
--
To Cycle for scrap; ex-CSX 2404 < B&O 7704 < nee B&O 7404","--
To Cycle for scrap; ex-CSX 2404 < B&O 7704 < nee B&O 7404",To Cycle for scrap; ex-CSX 2404 < B&O 7704 < nee B&O 7404
"B30-7 (GE)
7835
--
--
To Cycle for scrap; ex-SP 7835","7835
--
--
To Cycle for scrap; ex-SP 7835","--
--
To Cycle for scrap; ex-SP 7835","--
To Cycle for scrap; ex-SP 7835",To Cycle for scrap; ex-SP 7835
"C39-8 (GE)
8201, 8203 & 8204
--
--
To FCCA 1019, 1021 & 1012; ex-NS 8201, 8203 & 8204 < nee CR 6003, 6006 & 6007","8201, 8203 & 8204
--
--
To FCCA 1019, 1021 & 1012; ex-NS 8201, 8203 & 8204 < nee CR 6003, 6006 & 6007","--
--
To FCCA 1019, 1021 & 1012; ex-NS 8201, 8203 & 8204 < nee CR 6003, 6006 & 6007","--
To FCCA 1019, 1021 & 1012; ex-NS 8201, 8203 & 8204 < nee CR 6003, 6006 & 6007","To FCCA 1019, 1021 & 1012; ex-NS 8201, 8203 & 8204 < nee CR 6003, 6006 & 6007"
"8209
--
--
To FCCA 8209; ex-NS 8209 < nee CR 6015","--
--
To FCCA 8209; ex-NS 8209 < nee CR 6015","--
To FCCA 8209; ex-NS 8209 < nee CR 6015",To FCCA 8209; ex-NS 8209 < nee CR 6015,
"C36-7 (GE)
8501-8504
--
--
To EVFM 8501-8504; ex-NS 8501-8504 < nee N&W 8501-8504","8501-8504
--
--
To EVFM 8501-8504; ex-NS 8501-8504 < nee N&W 8501-8504","--
--
To EVFM 8501-8504; ex-NS 8501-8504 < nee N&W 8501-8504","--
To EVFM 8501-8504; ex-NS 8501-8504 < nee N&W 8501-8504",To EVFM 8501-8504; ex-NS 8501-8504 < nee N&W 8501-8504
"8506-08, 10-11 & 13
--
--
To MRSL 3831-3836; ex-NS 8506-08, 10-11 & 13 < nee N&W 8506-08, 10-11 & 13","--
--
To MRSL 3831-3836; ex-NS 8506-08, 10-11 & 13 < nee N&W 8506-08, 10-11 & 13","--
To MRSL 3831-3836; ex-NS 8506-08, 10-11 & 13 < nee N&W 8506-08, 10-11 & 13","To MRSL 3831-3836; ex-NS 8506-08, 10-11 & 13 < nee N&W 8506-08, 10-11 & 13",
"8509 & & 8514
--
--
To EVFM 8509 & & 8514; ex-NS 8509 & & 8514 < nee N&W 8509 & & 8514","--
--
To EVFM 8509 & & 8514; ex-NS 8509 & & 8514 < nee N&W 8509 & & 8514","--
To EVFM 8509 & & 8514; ex-NS 8509 & & 8514 < nee N&W 8509 & & 8514",To EVFM 8509 & & 8514; ex-NS 8509 & & 8514 < nee N&W 8509 & & 8514,
"8515, 17-19
--
--
To MRSL 3837-39 & 3821; ex-NS 8515, 8517-8519 < nee N&W 8515, 8517-8519","--
--
To MRSL 3837-39 & 3821; ex-NS 8515, 8517-8519 < nee N&W 8515, 8517-8519","--
To MRSL 3837-39 & 3821; ex-NS 8515, 8517-8519 < nee N&W 8515, 8517-8519","To MRSL 3837-39 & 3821; ex-NS 8515, 8517-8519 < nee N&W 8515, 8517-8519",
"8520, 23 25 & 26
--
--
To EVFM 8520, 23 25 & 26; ex-NS 8520, 23 25 & 26 < nee N&W 8520, 23 25 & 26","--
--
To EVFM 8520, 23 25 & 26; ex-NS 8520, 23 25 & 26 < nee N&W 8520, 23 25 & 26","--
To EVFM 8520, 23 25 & 26; ex-NS 8520, 23 25 & 26 < nee N&W 8520, 23 25 & 26","To EVFM 8520, 23 25 & 26; ex-NS 8520, 23 25 & 26 < nee N&W 8520, 23 25 & 26",
