Company,Abbr,Model,Road No.,Date
WATCO,WAMX,GP35,WAMX 3523,Aug-64
WATCO,WAMX,GP30,WAMX 3525,Sep-63
WATCO,WAMX,GP35,WAMX 3531,Sep-65
WATCO,WAMX,GP35,WAMX 3532,May-70
WATCO,WAMX,GP35,WAMX 3533,Apr-64
WATCO,WAMX,GP35-3,WAMX 3534,Apr-64
WATCO,WAMX,GP35,WAMX 3535,Feb-64
WATCO,WAMX,GP35L,WAMX 3536,Nov-63
WATCO,WAMX,GP35L,WAMX 3537,Apr-65
WATCO,WAMX,GP35L,WAMX 3538,Apr-65
WATCO,WAMX,GP38-2,WAMX 3801:2,Jan-76
WATCO,WAMX,GP38-2,WAMX 3802:2,Jul-71
WATCO,WAMX,GP38-2,WAMX 3803:2,Dec-67
WATCO,WAMX,GP38-2,WAMX 3804:2,Oct-76
WATCO,WAMX,GP38-2,WAMX 3805:2,Oct-76
WATCO,WAMX,GP38-2,WAMX 3806:2,Nov-74
WATCO,WAMX,GP38-2,WAMX 3807:2,Nov-74
WATCO,WAMX,GP38-2,WAMX 3808:2,Nov-74
WATCO,WAMX,GP38-2,WAMX 3809:2,Jun-73
WATCO,WAMX,GP38-2,WAMX 3810:2,Jul-73
WATCO,WAMX,GP38-2,WAMX 3811:2,Jul-73
WATCO,WAMX,GP38-2,WAMX 3812:2,Jan-75
WATCO,WAMX,GP38-2,WAMX 3813:2,Jan-75
WATCO,WAMX,GP38-2,WAMX 3814:2,Dec-76
WATCO,WAMX,GP38-2,WAMX 3815:2,Dec-76
WATCO,WAMX,GP38-2,WAMX 3816:2,Dec-76
WATCO,WAMX,GP38-2,WAMX 3817:2,Mar-72
WATCO,WAMX,GP38-2,WAMX 3818:2,Dec-72
WATCO,WAMX,GP38-2,WAMX 3819:2,Nov-72
WATCO,WAMX,GP38-2,WAMX 3820:2,Nov-72
WATCO,WAMX,GP38-3,WAMX 3821,Sep-67
WATCO,WAMX,GP38-3,WAMX 3822,Jun-67
WATCO,WAMX,GP38-3,WAMX 3824,Mar-67
WATCO,WAMX,GP38-3,WAMX 3825,Apr-69
WATCO,WAMX,GP38-3,WAMX 3826,Dec-67
WATCO,WAMX,GP38-3,WAMX 3827,Oct-66
WATCO,WAMX,GP38-3,WAMX 3828,Mar-67
WATCO,WAMX,GP38-3,WAMX 3829,Sep-67
WATCO,WAMX,GP38-3,WAMX 3830,Dec-67
WATCO,WAMX,GP38-3,WAMX 3831,Oct-66
WATCO,WAMX,GP38-3,WAMX 3832,Mar-66
WATCO,WAMX,GP38-3,WAMX 3833,Sep-67
WATCO,WAMX,GP38-3,WAMX 3834,Mar-66
WATCO,WAMX,GP38-3,WAMX 3835,Oct-66
WATCO,WAMX,GP38-3,WAMX 3836,Mar-67
WATCO,WAMX,GP38-3,WAMX 3838,Apr-69
WATCO,WAMX,GP38-2,WAMX 3839,Nov-65
WATCO,WAMX,GP38-2,WAMX 3841,Jun-65
WATCO,WAMX,GP38-2,WAMX 3842,Jan-64
WATCO,WAMX,GP38-2,WAMX 3844,Apr-65
WATCO,WAMX,GP38-2,WAMX 3845,Dec-64
WATCO,WAMX,GP38-2,WAMX 3846,Apr-65
WATCO,WAMX,GP38-2,WAMX 3849,Apr-65
WATCO,WAMX,GP38-2,WAMX 3850,Feb-64
WATCO,WAMX,GP38-2,WAMX 3851,Mar-64
WATCO,WAMX,GP38-2,WAMX 3852,Jul-65
WATCO,WAMX,GP38-2,WAMX 3853,Dec-64
WATCO,WAMX,GP38-2,WAMX 3855,Feb-64
WATCO,WAMX,GP38-2,WAMX 3856,Nov-65
WATCO,WAMX,GP38-2,WAMX 3857,Feb-64
WATCO,WAMX,GP38-2,WAMX 3858,Nov-74
WATCO,WAMX,GP38-2,WAMX 3859,Nov-74
WATCO,WAMX,GP38-2,WAMX 3868,Jun-75
WATCO,WAMX,GP38-2,WAMX 3869,Oct-75
WATCO,WAMX,GP38-2,WAMX 3870,Nov-75
WATCO,WAMX,GP38-2,WAMX 3871,Oct-75
WATCO,WAMX,GP38-2,WAMX 3872,Dec-75
WATCO,WAMX,GP38-3,WAMX 3873,Jan-64
WATCO,WAMX,GP38-MEP,WAMX 3874,Apr-65
WATCO,WAMX,GP38-2,WAMX 3875,Dec-72
WATCO,WAMX,GP38-2,WAMX 3876,Dec-72
