Company,Abbr,Model,Road No.,Date
Railway Equipment and Leasing Company,Relco,44-Tonner,301 & 302,Nov-41
Railway Equipment and Leasing Company,Relco,44-Tonner,501 & 502,Apr-40
Railway Equipment and Leasing Company,Relco,44-Tonner,503,
Railway Equipment and Leasing Company,Relco,44-Tonner,504 & 505,
Railway Equipment and Leasing Company,Relco,44-Tonner,506 & 507,Dec-40
Railway Equipment and Leasing Company,Relco,44-Tonner,508-510,Jun-41
Railway Equipment and Leasing Company,Relco,44-Tonner,511,May-53
Railway Equipment and Leasing Company,Relco,44-Tonner,512-514,Jan-51
Railway Equipment and Leasing Company,Relco,44-Tonner,516 & 517,Mar-47
Railway Equipment and Leasing Company,Relco,SW600,551,Apr-55
Railway Equipment and Leasing Company,Relco,HH600,"601, 605 & 607",Dec-39
Railway Equipment and Leasing Company,Relco,HH600,602 & 604,Mar-40
Railway Equipment and Leasing Company,Relco,HH600,603 & 606,Apr-40
Railway Equipment and Leasing Company,Relco,S1 / S3,701 & 702,Jun-41
Railway Equipment and Leasing Company,Relco,S1 / S3,703-705,Mar-42
Railway Equipment and Leasing Company,Relco,S1 / S3,706,Aug-41
Railway Equipment and Leasing Company,Relco,S1 / S3,707(1st) & 710,Aug-51
Railway Equipment and Leasing Company,Relco,S1 / S3,707(2nd) & 708,Dec-40
Railway Equipment and Leasing Company,Relco,S1 / S3,709 & 711,Aug-46
Railway Equipment and Leasing Company,Relco,S1 / S3,712,Jul-42
Railway Equipment and Leasing Company,Relco,S1 / S3,713-15,May-47
Railway Equipment and Leasing Company,Relco,S1 / S3,716-719,
Railway Equipment and Leasing Company,Relco,S1 / S3,720-722,Aug-44
Railway Equipment and Leasing Company,Relco,S2 / S4,801,Nov-46
Railway Equipment and Leasing Company,Relco,S2 / S4,802-805,
Railway Equipment and Leasing Company,Relco,S2 / S4,"806, 807 & 807(2nd)",
Railway Equipment and Leasing Company,Relco,S2 / S4,808,Dec-48
Railway Equipment and Leasing Company,Relco,S6,896 & 899,Feb-56
Railway Equipment and Leasing Company,Relco,T6,897 & 898,Jun-59
Railway Equipment and Leasing Company,Relco,SW8,902 & 903,Nov-52
Railway Equipment and Leasing Company,Relco,SW900,904,
Railway Equipment and Leasing Company,Relco,SW900,905,Apr-54
Railway Equipment and Leasing Company,Relco,SW900,906-908,
Railway Equipment and Leasing Company,Relco,SW900,909 & 10,
Railway Equipment and Leasing Company,Relco,SW900,911-912,
