Company,Abbr,Road No.,Model,Date
Canac Leasing,CANX,14,SW1200RS / SW1200,Jan-57
Canac Leasing,CANX,1206,SW1200RS / SW1200,Mar-56
Canac Leasing,CANX,1236,SW1200RS / SW1200,Jun-56
Canac Leasing,CANX,1272,SW1200RS / SW1200,Aug-57
Canac Leasing,CANX,1303,SW1200RS / SW1200,May-58
Canac Leasing,CANX,1308,SW1200RS / SW1200,Jul-58
Canac Leasing,CANX,1323,SW1200RS / SW1200,Oct-58
Canac Leasing,CANX,1330,SW1200RS / SW1200,Nov-58
Canac Leasing,CANX,"1338, 1341, 1344",SW1200RS / SW1200,May-59
Canac Leasing,CANX,"1350, 1352, 1353",SW1200RS / SW1200,Jun-59
Canac Leasing,CANX,"1360, 1361",SW1200RS / SW1200,Apr-60
Canac Leasing,CANX,1377,SW1200RS / SW1200,Jun-60
Canac Leasing,CANX,"1388, 1389, 1391",SW1200RS / SW1200,Jul-60
Canac Leasing,CANX,1395,SW1200RS / SW1200,Aug-60
Canac Leasing,CANX,1513-1519,SW1200RS / SW1200,Mar-60
Canac Leasing,CANX,1704,GP16,Dec-50
Canac Leasing,CANX,7100,SW1200,Aug-56
Canac Leasing,CANX,7101,SW1200,Feb-58
Canac Leasing,CANX,7102,SW1200,May-56
Canac Leasing,CANX,7103,SW1200,Jul-56
Canac Leasing,CANX,7104,SW1200,Dec-56
Canac Leasing,CANX,"7105, 7106",SW1200,Jan-57
Canac Leasing,CANX,7107,SW1200,Jul-56
Canac Leasing,CANX,7302,SW1200,Apr-60
Canac Leasing,CANX,7307,SW1200,Aug-60
Canac Leasing,CANX,7308,SW1200,May-60
Canac Leasing,CANX,"7310, 7312",SW1200,Aug-56
Canac Leasing,CANX,7317,SW1200,Jun-59
Canac Leasing,CANX,7731,SW8,Mar-52
Canac Leasing,CANX,8302,GP10,Dec-58
Canac Leasing,CANX,8308,GP10,May-64
Canac Leasing,CANX,8335,GP10,May-55
Canac Leasing,CANX,8348,GP10,Jan-56
Canac Leasing,CANX,8355,GP10,Apr-54
Canac Leasing,CANX,8370,GP10,Jan-57
Canac Leasing,CANX,8464,GP10,Jan-58
Canac Leasing,CANX,8601,GP10,Oct-59
Canac Leasing,CANX,8604,GP10,Apr-56
Canac Leasing,CANX,"8700, 8701",S13m,Oct-59
Canac Leasing,CANX,"8702, 8703",S13m,5-May
Canac Leasing,CANX,8704,S13m,
Canac Leasing,CANX,8705,S13m,Oct-59
Canac Leasing,CANX,8706,S13m,Feb-59
Canac Leasing,CANX,"8708, 8709",S13m,Feb-59
Canac Leasing,CANX,8711,S13m,Jan-59
Canac Leasing,CANX,8734,GP11,Oct-57
