Company,Abbr,Model,Road No.,Date
National Railway Equipment Motive Power,NRE,Road,BNSF 3955,
National Railway Equipment Motive Power,NRE,B23-7,BN 4200s,
National Railway Equipment Motive Power,NRE,B23-7,BN 4200s,
National Railway Equipment Motive Power,NRE,B30-7,BN 5489,
National Railway Equipment Motive Power,NRE,SD35,BN 6518,
National Railway Equipment Motive Power,NRE,SD45,BN 6400's,
National Railway Equipment Motive Power,NRE,SD45-2,BN 6400s,
National Railway Equipment Motive Power,NRE,SD45-2,BN 6503,
National Railway Equipment Motive Power,NRE,SD40-2,BN 7829,
National Railway Equipment Motive Power,NRE,SD45T-2,CEFX 9194 & 9243,
National Railway Equipment Motive Power,NRE,SD45T-2,"CEFX 9300, 9328 & 9337",
National Railway Equipment Motive Power,NRE,SW1200,Central Manitoba 4080,
National Railway Equipment Motive Power,NRE,GMD-1,"Canadian Nat'l 1901, 1905, 1907 & 1915",
National Railway Equipment Motive Power,NRE,HR616,CN 2100 Series,
National Railway Equipment Motive Power,NRE,GP9,CN 4000s,
National Railway Equipment Motive Power,NRE,SD40,"CN 5078, 5233, 5912 & 5922",
National Railway Equipment Motive Power,NRE,F9A,CN 9164 & 9177,
National Railway Equipment Motive Power,NRE,GP40,"Chicago & North Wsn 5515, 5517 & 5529",
National Railway Equipment Motive Power,NRE,GP10,Chi.Cntrl & Pacific 8093 & 8258,
National Railway Equipment Motive Power,NRE,SD10,Canadian Pacific 534,
National Railway Equipment Motive Power,NRE,F9B,CP 1018-1019,
National Railway Equipment Motive Power,NRE,GP38-2,CP 3067,
National Railway Equipment Motive Power,NRE,SD40-2,"CP 5413, 5418, 5431 & 5476",
National Railway Equipment Motive Power,NRE,SD40-2,"CP 5567, 5581 & 5590",
National Railway Equipment Motive Power,NRE,SD40-2,CP 5600s,
National Railway Equipment Motive Power,NRE,SD40-2,CP 5700s,
National Railway Equipment Motive Power,NRE,SD40-2,CP 5823,
National Railway Equipment Motive Power,NRE,SD40,CP 6409,
National Railway Equipment Motive Power,NRE,GP16,CSX 1792,
National Railway Equipment Motive Power,NRE,B23-7,CSX 3136,
National Railway Equipment Motive Power,NRE,GP39,CSX 4287 & 4299,
National Railway Equipment Motive Power,NRE,Road,CSX 5213,
National Railway Equipment Motive Power,NRE,B36-7,CSX 5575,
National Railway Equipment Motive Power,NRE,B36-7,CSX 5875,
National Railway Equipment Motive Power,NRE,GP40,CSX 6635 & 6756,
National Railway Equipment Motive Power,NRE,SD45,Dakota & Iowa 2701 & 2801,
National Railway Equipment Motive Power,NRE,GP38,Denver & Rio Grande Wsn 3075,
National Railway Equipment Motive Power,NRE,SD40,Duluth Winnipeg & Pacific 5902 & 5904,
National Railway Equipment Motive Power,NRE,GP50,FURX 2900s,
National Railway Equipment Motive Power,NRE,SD40-2,"FURX 3020, 3069 & 3080",
National Railway Equipment Motive Power,NRE,SD40-2,FURX 7200s,
National Railway Equipment Motive Power,NRE,SD40-2,FURX 7200s,
National Railway Equipment Motive Power,NRE,SD40-2,FURX 7900s,
National Railway Equipment Motive Power,NRE,SD40-2,FURX 8000s,
National Railway Equipment Motive Power,NRE,SD40-2,FURX 8100s,
National Railway Equipment Motive Power,NRE,GP50,FWWD 2009,
National Railway Equipment Motive Power,NRE,GP35,FWWD 5020,
National Railway Equipment Motive Power,NRE,SD40,Grand Trunk Wsn 5925 & 5928,
