Company,Abbr,Road No.,Model,Date
Bruggere & Monson,BUGX,17,S12,Feb-55
Bruggere & Monson,BUGX,25,44-tonner,Nov-46
Bruggere & Monson,BUGX,29,GP30,Jun-63
Bruggere & Monson,BUGX,51,GP40WH-2,1-Sep
Bruggere & Monson,BUGX,59,GP40WH-2,Mar-67
Bruggere & Monson,BUGX,101,CF7,EMD
Bruggere & Monson,BUGX,120,BL20-2,Apr-92
Bruggere & Monson,BUGX,122,BL20-2,Aug-92
Bruggere & Monson,BUGX,156,SD40-2,
Bruggere & Monson,BUGX,219,SD70MAC,
Bruggere & Monson,BUGX,227,Road slug,Apr-76
Bruggere & Monson,BUGX,337,GP9,Aug-57
Bruggere & Monson,BUGX,401,F7A,Feb-53
Bruggere & Monson,BUGX,402,F7A,
Bruggere & Monson,BUGX,409,F0PHR,Jan-88
Bruggere & Monson,BUGX,459,F40PH,Dec-77
Bruggere & Monson,BUGX,621,VO660M,Nov-41
Bruggere & Monson,BUGX,701,C415,
Bruggere & Monson,BUGX,795,SW1200,
Bruggere & Monson,BUGX,802,&,
Bruggere & Monson,BUGX,805,F40PHL-2,
Bruggere & Monson,BUGX,813 & 814,GP49PH-3,Nov-41
Bruggere & Monson,BUGX,999,BP4,
Bruggere & Monson,BUGX,1003,S4,Sep-50
Bruggere & Monson,BUGX,1010,Slug,
Bruggere & Monson,BUGX,1100,FP10,Dec-46
Bruggere & Monson,BUGX,1200,SW14,Jul-45
Bruggere & Monson,BUGX,1201,SW14,May-52
Bruggere & Monson,BUGX,IC 1202,SW14,Apr-53
Bruggere & Monson,BUGX,IC 1203,SW14,May-52
Bruggere & Monson,BUGX,IC 1204,SW14,Jun-51
Bruggere & Monson,BUGX,1270,3GS21B,
Bruggere & Monson,BUGX,IC 1288,SW1200RS,Nov-57
Bruggere & Monson,BUGX,IC 1301,SW1300,Jul-45
Bruggere & Monson,BUGX,1302,SW7,Jun-49
Bruggere & Monson,BUGX,1322,GP7u,Jan-52
Bruggere & Monson,BUGX,1331,GP7u,Dec-52
Bruggere & Monson,BUGX,1375,SW1200RS,
Bruggere & Monson,BUGX,1402,GMD1,Jan-59
Bruggere & Monson,BUGX,1492 & 1497,SW14,
Bruggere & Monson,BUGX,1501,SD7R,Aug-53
Bruggere & Monson,BUGX,1533,SD7R,
Bruggere & Monson,BUGX,1552,SD9R,Oct-55
Bruggere & Monson,BUGX,1558,SW1500,Apr-69
Bruggere & Monson,BUGX,1561 & 1562,SW1500,
Bruggere & Monson,BUGX,1568,SW1500,Jul-72
Bruggere & Monson,BUGX,1569 & 1571,SW1500,1571
Bruggere & Monson,BUGX,1600,GP16,
Bruggere & Monson,BUGX,1607,GP16,
Bruggere & Monson,BUGX,1612,GP16,
Bruggere & Monson,BUGX,1751,FP9,Nov-54
Bruggere & Monson,BUGX,1754,FP9,Mar-57
Bruggere & Monson,BUGX,1801,GP9E,Apr-59
Bruggere & Monson,BUGX,1802,GP9,Jul-56
Bruggere & Monson,BUGX,1803,GP9,
Bruggere & Monson,BUGX,1852,SD9E,May-55
Bruggere & Monson,BUGX,2000(1st),GP38,
Bruggere & Monson,BUGX,2000(2nd),GP38,
Bruggere & Monson,BUGX,2014,GP7u,Dec-52
Bruggere & Monson,BUGX,2036,GP20,
Bruggere & Monson,BUGX,2161,GP7U,
Bruggere & Monson,BUGX,2197,GP7U,
Bruggere & Monson,BUGX,2667,SW1500,
Bruggere & Monson,BUGX,2746,SWD40M-2,
Bruggere & Monson,BUGX,2769,SWD40M-2,
Bruggere & Monson,BUGX,2779,SWD40M-2,
Bruggere & Monson,BUGX,3229,SD40-2,1976
Bruggere & Monson,BUGX,-3577,SD40-2,Jul-79
Bruggere & Monson,BUGX,3804,GP9R,Mar-57
Bruggere & Monson,BUGX,4127,GP20M,
Bruggere & Monson,BUGX,4303,SD9E,1954
Bruggere & Monson,BUGX,4304,SD9E,May-54
Bruggere & Monson,BUGX,UP 4429-4438,SD70M,
Bruggere & Monson,BUGX,UP 4439-4447,SD70M,
Bruggere & Monson,BUGX,5989,F45,1968
Bruggere & Monson,BUGX,7025,SD70M,
Bruggere & Monson,BUGX,7082,GP9RM,
Bruggere & Monson,BUGX,7260 & 7279,GP9RM,
Bruggere & Monson,BUGX,7400,SD45R,Aug-66
Bruggere & Monson,BUGX,7486,SD45R,
Bruggere & Monson,BUGX,7520,SD40M-2,Apr-67
Bruggere & Monson,BUGX,7523,SD45R,1967
Bruggere & Monson,BUGX,7632,GP40-2,Jan-79
Bruggere & Monson,BUGX,7863,B30-7,Apr-79
Bruggere & Monson,BUGX,9400,SD45T-2,Jun-75
Bruggere & Monson,BUGX,9428,SD70MAC,
Bruggere & Monson,BUGX,9826,SD70M,
Bruggere & Monson,BUGX,??,S4m,
