Company,Abbr,Road No.,Model,Date
CIT Rail Resources,CITX,CBFX 3805,GP38-2/3/AC,
CIT Rail Resources,CITX,CEFX 3806,GP38-2/3/AC,Sep-71
CIT Rail Resources,CITX,CEFX 3807,GP38-2/3/AC,Sep-71
CIT Rail Resources,CITX,CEFX 3809,GP38-2/3/AC,Oct-60
CIT Rail Resources,CITX,CEFX 3810,GP38-2/3/AC,Oct-60
CIT Rail Resources,CITX,CEFX 3811,GP38-2/3/AC,Oct-69
CIT Rail Resources,CITX,CEFX 3811,GP38-2/3/AC,Sep-69
CIT Rail Resources,CITX,CEFX 3813,GP38-2/3/AC,Oct-72
CIT Rail Resources,CITX,CEFX 3814,GP38-2/3/AC,Mar-71
CIT Rail Resources,CITX,CEFX 3816,GP38-2/3/AC,Oct-69
CIT Rail Resources,CITX,CEFX 3826,GP38-2/3/AC,Jul-70
CIT Rail Resources,CITX,CEFX 3864,GP38-2/3/AC,Mar-66
CIT Rail Resources,CITX,CEFX 3917,SD40-2,Sep-76
CIT Rail Resources,CITX,CEFX 3962,SD40-2,Apr-80
CIT Rail Resources,CITX,CEFX 6000-6001,SD60,Aug-87
CIT Rail Resources,CITX,"CITX 6003, 6004",SD60,Aug-87
CIT Rail Resources,CITX,CEFX 6005,SD60,Aug-97
CIT Rail Resources,CITX,CITX 6006 & 6007,SD60,Aug-87
CIT Rail Resources,CITX,CEFX 6008 & 6009,SD60,Aug-87
CIT Rail Resources,CITX,CEFX 6010-6020,SD60,Aug-87
CIT Rail Resources,CITX,CEFX 6021-6024,SD60,Jan-90
CIT Rail Resources,CITX,CEFX 6025 & 6026,SD60,Feb-90
CIT Rail Resources,CITX,CEFX 6027 & 32-34,SD60,Jan-90
CIT Rail Resources,CITX,CEFX 6051 & 6053,SD38,Apr-70
CIT Rail Resources,CITX,CEFX 6052 & 6054,SD38,May-70
CIT Rail Resources,CITX,CITX 6103,SD40-2,Sep-66
CIT Rail Resources,CITX,CEFX 6318,SD40M-2,Mar-68
CIT Rail Resources,CITX,CEFX 6319,SD40-2,Mar-68
